rank,reward,equations,equations_with_constants
6330,9.575302450948048e-17,B0*i**2 + i - s ; B1 + B2*sqrt(Abs(i - sqrt(Abs(r)))),4.19156565446807*i**2 + i - s ; 0.877955543356044 - 0.773594096511828*sqrt(Abs(i - sqrt(Abs(r))))
6331,6.816512046003787e-17,B0*i*s + 2*i**2*s ; B1*i + i**2 + i*r + r,2*i**2*s - 0.797472308787579*i*s ; i**2 + i*r + 2.6672750783091*i + r
6332,4.071603822290785e-17,sqrt(Abs(B0 + B1*i)) ; Abs(i)**(1/4),sqrt(Abs(0.470834781965739*i + 0.153769536479699)) ; Abs(i)**(1/4)
6333,2.937882984885458e-17,B0*sqrt(Abs(i)) + B1*i + B2*s ; sqrt(Abs(B3 + i - sqrt(Abs(i)))),-1.32048577530122*i - 0.00965408912894199*s + 0.795263939527093*sqrt(Abs(i)) ; sqrt(Abs(i - sqrt(Abs(i)) + 0.293144425287907))
6334,2.1704629936887518e-17,B0 - i*sqrt(Abs(s)) + sqrt(Abs(i))*sqrt(Abs(s)) ; B1*sqrt(Abs(i)),-i*sqrt(Abs(s)) + sqrt(Abs(i))*sqrt(Abs(s)) - 0.271252017633103 ; 0.238045943150235*sqrt(Abs(i))
6335,1.6720258916824243e-17,i**2*Abs(s)**(3/2) - i + s ; sqrt(Abs(r))*Abs(B0 + B1*i)**(1/8),i**2*Abs(s)**(3/2) - i + s ; sqrt(Abs(r))*Abs(0.827768933269265*i + 0.000501361696260763)**(1/8)
6336,8.38733986259563e-18,B0*i**2 + B1*s ; sqrt(Abs(i)),17.7250353440689*i**2 + 0.00319574038528082*s ; sqrt(Abs(i))
6337,7.325865409078631e-18,B0 + B1*s*sqrt(Abs(i)) + i + s**2 ; r,i + s**2 + 3.95978818576158*s*sqrt(Abs(i)) - 0.293136805689491 ; r
6338,6.063006776002479e-18,i**2 + i*Abs(s)**(3/4) ; B0 - r,i**2 + i*Abs(s)**(3/4) ; 1.27928392334713 - r
6339,5.758704303189029e-18,s ; i + sqrt(Abs(B0*r - i*r)),s ; i + sqrt(Abs(i*r + 0.405469001044814*r))
6340,4.4033874924042154e-18,B0 - i*sqrt(Abs(s)) + i ; i + sqrt(Abs(B1 + i + 2*r)),-i*sqrt(Abs(s)) + i + 0.00304715294128328 ; i + sqrt(Abs(i + 2*r - 0.369280832039297))
6341,2.844364787887238e-18,B0 + B1*i + i**2 ; Abs(i)**(1/4),i**2 + 0.131029235523083*i + 0.41827394543696 ; Abs(i)**(1/4)
6342,2.4724984223893732e-18,i + s**2 + 2**(1/4)*Abs(s)**(5/4) ; B0 + i*r + i,i + s**2 + 2**(1/4)*Abs(s)**(5/4) ; i*r + i + 0.592032469740367
6343,1.1548251142677214e-18,sqrt(Abs(B0*i**2 + B1*i)) ; B2 + i + sqrt(Abs(r)),sqrt(Abs(0.029107252373248*i**2 + 0.00253989284884501*i)) ; i + sqrt(Abs(r)) - 1.55082754267247
6344,7.394990839648816e-19,sqrt(Abs(i)) ; B0*i + B1*r,sqrt(Abs(i)) ; 1.74504621435684*i + 0.00451798953192497*r
6345,5.1498190850751545e-19,sqrt(Abs(B0*s - i + sqrt(Abs(i)))) ; B1*sqrt(Abs(i)) + B2*r,sqrt(Abs(-i + 0.0211008278796462*s + sqrt(Abs(i)))) ; 0.00908778779324606*r + 0.191039676644768*sqrt(Abs(i))
6346,4.721323783147993e-19,B0*s*sqrt(Abs(i - s**2)) ; i + r,-0.00063521784819807*s*sqrt(Abs(i - s**2)) ; i + r
6347,4.0206237562250816e-19,B0 + B1*i + B2*s ; sqrt(Abs(B3 + i)),-1.10669371516951*i - 0.016643245982577*s + 0.146990065790037 ; sqrt(Abs(i - 0.00144505660376094))
6348,3.7628817926518834e-19,B0 + B1*i ; i - Abs(r)**(1/4),3.34695382273505 - 1.72884048432436*i ; i - Abs(r)**(1/4)
6349,1.9663724191980473e-19,Abs(B0 + i)**(1/4) ; i + sqrt(Abs(i)),Abs(i - 0.0777371981091281)**(1/4) ; i + sqrt(Abs(i))
6350,1.6057987313148062e-19,sqrt(Abs(i)) ; B0*i**2 + B0*i*r,sqrt(Abs(i)) ; 0.301025385163686*i**2 + 0.301025385163686*i*r
6351,1.200454414095536e-19,-i + s*Abs(i)**(1/4) - s ; r,-i + s*Abs(i)**(1/4) - s ; r
6352,1.1752922677914487e-19,sqrt(Abs(i)) ; B0*i**3,sqrt(Abs(i)) ; 21.1471084266585*i**3
6353,9.377108105950959e-20,i*s**2 ; B0 - 3*r**2 + r,i*s**2 ; -3*r**2 + r + 0.00249757533647165
6354,3.174412751560942e-20,i**2*s**2 ; r*sqrt(Abs(i)),i**2*s**2 ; r*sqrt(Abs(i))
6355,3.1112419378048793e-20,i**2*s**2 ; B0*i*Abs(r)**(1/8),i**2*s**2 ; 0.000140657107816819*i*Abs(r)**(1/8)
6356,2.9886465915993765e-20,-i*s**3 + i*s**2 ; B0 + sqrt(Abs(r)),-i*s**3 + i*s**2 ; sqrt(Abs(r))
6357,2.9886465915993765e-20,-i*s**3 + i*s**2 ; B0*Abs(r)**(9/8),-i*s**3 + i*s**2 ; 0.000182607546151242*Abs(r)**(9/8)
6358,2.978529868015854e-20,B0*i*s**2 - i**2*s**2 + i*s**3 ; B1 - i - 2*r,-i**2*s**2 + i*s**3 - 0.0735088803648802*i*s**2 ; -i - 2*r + 0.0477263713572842
6359,2.2448922165229498e-20,B0*i**2*s - s ; B1 + B2*r,3.44842481781136*i**2*s - s ; 0.301935669403846 - 0.477475976502302*r
6360,1.905457468283524e-20,B0 + B1*i + i*sqrt(Abs(s)) ; B2 + B3*i,i*sqrt(Abs(s)) + 28.2010434499948*i + 5.92607001229343 ; 31.5022426994697*i + 6.46123215402739
