rank,reward,equations,equations_with_constants
3562,0.840676487816844,B0*i*s**2 + B1*i**2*s ; B2 + B3*i,9.58300409802007*i**2*s + 1.56773010938957*i*s**2 ; 2.24565676821911*i + 0.241930437347399
3563,0.8406513998887293,B0*s + B1*i*s**2 - i*s ; B2 + 2*i,0.970521228431674*i*s**2 - i*s - 0.000596675805678013*s ; 2*i + 0.550178632089621
3564,0.840644771633328,B1*sqrt(Abs(B0 + s**2 - s)) ; B2*i + r,0.0336850318718627*sqrt(Abs(-s**2 + s + 0.47786102211245)) ; 0.00185554150388986*i + r
3565,0.8406040432983034,B1*sqrt(Abs(B0 + i**2 - i)) ; B2*r,0.0344072318832776*sqrt(Abs(-i**2 + i + 0.453206271981385)) ; 14.6390985068538*r
3566,0.8405828123170995,B0*i**3 + B1*i**2*s ; B2 + B3*r,-0.0012148729232846*i**3 + 0.16378128609762*i**2*s ; -0.865033808286324*r - 0.324204201017349
3567,0.8405240124718842,B0*s + B1*s**2 + i*s**2 ; B2 + B3*r + i*r + i,i*s**2 - 0.305993358128604*s**2 + 0.293585929707379*s ; i*r + i + 0.231474845420733*r - 0.00547515198664062
3568,0.8404915692246387,B0*i + i**2 ; B1*i**2 + B2*r + B3*i*r,i**2 + 0.299819942319771*i ; 2.17574088178348*i**2 + 0.447962624789549*i*r - 0.000295016446749848*r
3569,0.8404776680076694,B0*i + i*s ; B1*i + B2*i**2 + B3*i*r,i*s + 0.00905919124539732*i ; 10.6751616109045*i**2 - 4.72281304695715*i*r + 0.798205498367299*i
3570,0.8404706963215307,B2*sqrt(Abs(B0 + B1*i)) ; B3 + 2*r,0.0259330027980608*sqrt(Abs(0.0017866093511198*i - 0.402916102908017)) ; 2*r - 5.51988639152821e-9
3571,0.8404627767562484,B1*sqrt(Abs(B0 + i**2 + s)) ; B2*r,0.0325122070068243*sqrt(Abs(i**2 + s - 1.60095002121755)) ; 0.255226394346557*r
3572,0.8404594662862552,B0*i*s**2 + B1*i**2*s ; B2*r,0.184004662017232*i**2*s + 0.326299875783478*i*s**2 ; 0.00118851836886568*r
3573,0.8404590672649992,B0*i**2 + B1*s + B2*i*s ; i,-5.71880854147298*i**2 - 1.36909352331473*i*s + 0.225017402133387*s ; i
3574,0.8403850054652019,B0 + B1*i + B2*s + B3*i*s ; i,0.650550186512409*i*s + 0.787143138150742*i - 0.00775232723401862*s - 0.000121264547769856 ; i
3575,0.8403557602114639,B0 - i ; r*sqrt(Abs(i)),0.0445753182900343 - i ; r*sqrt(Abs(i))
3576,0.8403557596930756,B0 + s ; sqrt(Abs(B1 + i)),s - 0.95544772177105 ; sqrt(Abs(i + 0.0165064672697373))
3577,0.8403434921927997,B0 + B1*i ; B2 + r - sqrt(Abs(B3 + i)),0.0213045601073775 - 9.20323017507325e-5*i ; r - sqrt(Abs(i - 0.0639183893152193)) + 0.154074072960071
3578,0.8403277273422508,B0*i + B1*s + B2*i*s ; B3 - i + r,-0.000504169235588701*i*s - 0.000107699039257818*i + 0.00255945641246158*s ; -i + r + 0.950978041447798
3579,0.8403152918967451,i*sqrt(Abs(s)) ; 2*i,i*sqrt(Abs(s)) ; 2*i
3580,0.8403034892309903,B0 + B1*i + B2*i*s - s ; sqrt(Abs(B3*r + B4*i)),-0.0105834042449233*i*s + 0.00968741926106313*i - s + 0.976899083271891 ; sqrt(Abs(22.9357100908672*i + 9.73624046510959*r))
3581,0.8402235626362966,B0*i + B0*sqrt(Abs(s)) ; r,0.0108563637877744*i + 0.0108563637877744*sqrt(Abs(s)) ; r
3582,0.840223213604172,B0*i**2 + B0*i*s ; B1 - 2*i**2 + i*r,-2.68930344831003*i**2 - 2.68930344831003*i*s ; -2*i**2 + i*r + 0.0507361865509187
3583,0.8401618862443334,B0*s*Abs(i)**(1/4) ; B1*i - i**2 + 2*i*r,0.0507926438653297*s*Abs(i)**(1/4) ; -i**2 + 2*i*r + 0.106526113430947*i
3584,0.8401606241595271,B0*i*s**2 + i**2*s**2 ; B1 + B2*r,i**2*s**2 - 0.479237779310235*i*s**2 ; 0.109467369352047*r + 0.0299298861578813
3585,0.8401183297346684,B3*sqrt(Abs(B0*i + B1*s + B2)) ; B4 - r,0.105966170148584*sqrt(Abs(0.00764554640377902*i - 0.108010834445161*s + 0.148941761908734)) ; 23.654291525425 - r
3586,0.8399559212711911,B0*i*Abs(s)**(1/4) ; sqrt(Abs(B1 + B2*i**2*r)),-0.247777965916405*i*Abs(s)**(1/4) ; sqrt(Abs(0.435829108888597*i**2*r - 0.0011740026886171))
3587,0.8399475499577498,B0*sqrt(Abs(i)) ; -r**2 + r,0.0135352409069413*sqrt(Abs(i)) ; -r**2 + r
3588,0.8399475499014478,B0*sqrt(Abs(i)) ; sqrt(Abs(i))*sqrt(Abs(r)),0.0135351278076047*sqrt(Abs(i)) ; sqrt(Abs(i))*sqrt(Abs(r))
3589,0.8399475491376563,B0*sqrt(Abs(i)) ; B1*i*r,0.0135409253512527*sqrt(Abs(i)) ; 17.8726097614412*i*r
3590,0.8399460733859725,B1*sqrt(Abs(B0 + 2*i)) + i ; i,i - 1.93162688855736e-6*sqrt(Abs(2*i + 20572.4820639288)) ; i
3591,0.8399403252084533,B0*i*s ; B1*i + B1*r + r*sqrt(Abs(i)) + Abs(i)**(3/2),0.116354957200428*i*s ; -1.08167741462616*i + r*sqrt(Abs(i)) - 1.08167741462616*r + Abs(i)**(3/2)
3592,0.8398528865302719,B0*Abs(i)**(1/4)*sqrt(Abs(s)) ; r + sqrt(Abs(2*i**2 - r)),0.0113955961786117*Abs(i)**(1/4)*sqrt(Abs(s)) ; r + sqrt(Abs(2*i**2 - r))
3593,0.839852623456922,sqrt(Abs(B0 - sqrt(Abs(B1*i + B1*s)))) ; B2*sqrt(Abs(i)),sqrt(Abs(sqrt(Abs(0.000419931989337122*i + 0.000419931989337122*s)) - 0.0199056398714732)) ; 0.00116509260243824*sqrt(Abs(i))
3594,0.8397728393849834,B0*i + i**2*s - i*s ; B1 + i,i**2*s - i*s - 0.153569660478674*i ; i + 0.0961940567204788
3595,0.8397665742410062,Abs(i)**(11/4) ; i,Abs(i)**(11/4) ; i
3596,0.8397394437709997,B0*s + B1*i**2*sqrt(Abs(s)) ; r,0.0271573808757997*i**2*sqrt(Abs(s)) + 0.0486368036508543*s ; r
3597,0.8397348294333988,B0*i*s + B1*i*s**2 ; B2 + r,0.00156843700420868*i*s**2 - 0.000123654766761213*i*s ; r - 0.00119195296921495
3598,0.8397250003257679,B0*i*s**2 + B1*i**2*s ; B2 + B3*sqrt(Abs(r)),0.000103280552895927*i**2*s - 0.00171116359501047*i*s**2 ; 2.6960553038485 - 0.0622355901722366*sqrt(Abs(r))
3599,0.8397041606996912,B0*i*s**2 + B1*i**2*s ; B2*i + i*r + r,0.831550380940976*i**2*s - 0.922894827726276*i*s**2 ; i*r + 2.27463597739054*i + r
3600,0.8396852794612742,B0*i + B1*i**2 - i**2*s ; B2 + B3*i + i*r + r,-i**2*s - 2.65745152473259*i**2 - 0.9294079214633*i ; i*r + 2.59498180828489*i + r + 0.0233649672566888
