node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0*M1', 'M0'))",0.8687458127654039,0.057949965278061746,0.025644252184159593,131,1.4321267863838947,9.389329301427361,0.030403340145724676,0.12069418889845361,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.8529359680487467,0.14416705204279207,0.053538286835178084,97,1.485626077609045,9.575383146508479,0.08814836146798856,0.22787330603105474,False,False,14,3
"('INTERNAL', ('M0*M2 + M1*M2', 'M0*M1'))",0.9135172474794446,0.1464255652821048,0.0624802929573154,46,1.580338111836285,9.624295443365593,0.07259327260751422,0.27634007782913544,False,False,14,2
"('INTERNAL', ('M0', 'M0*M1'))",0.7324239376577965,0.04396432364134831,0.023545116502237166,31,1.4321267863838947,9.540665080581238,0.011582039079444398,0.1793976090434224,False,False,14,1
"('INTERNAL', ('M0*M2 + M1*M2', 'B0*M0'))",0.8847484870025465,0.26658128646734114,0.10543051795213883,25,1.6071905933450956,9.692237539295101,0.13386657782569886,0.4641481595516778,False,False,14,3
"('INTERNAL', ('M0*M1', 'M0*M2 + M1*M2'))",0.8017205145974695,0.172400031140086,0.07951202386631037,20,1.4506828472681663,9.716929899730294,0.06647557481413689,0.388776497629343,False,False,14,2
"('INTERNAL', ('M0*M3 - M1*M3 + M2*M3', 'B0*M0'))",0.8599356294998067,0.2983992844411843,0.09598641722795512,9,1.52905781064801,9.813668788661438,0.1030828530003746,0.6234685384741399,False,False,14,3
"('INTERNAL', ('M0*M1', 'M0*M2 - M1*M2'))",0.7777082427847906,0.18825010180909502,0.0988144112494731,9,0.7990723913907012,9.764513981724466,0.052451076459033,0.5239609476237559,False,False,14,3
"('INTERNAL', ('M0*M2 - M1*M2', 'M0*M1'))",0.7680838904268509,0.1083498422377902,0.07121650840703174,8,1.093476918703925,9.758731283664778,0.023354484990842098,0.46512393108379524,False,False,14,2
"('INTERNAL', ('M0*M1', 'B0*M0'))",0.32663743010943297,0.08074021570670924,0.013070849472801465,8,1.576390490993075,9.815877072592876,0.016288402352271667,0.4351631819151011,False,False,14,6
"('INTERNAL', ('B0*M0', 'M0*M2 + M1*M2'))",0.6773900990017269,0.11953276125494891,0.0629456201907141,7,0.7626643148842567,9.870510449243806,0.025244158946854233,0.5037098221110738,False,False,14,5
"('INTERNAL', ('B0*M0', 'M0*M1'))",0.6432322448109979,0.23755706783008718,0.08271251976323422,7,1.3357678650363147,9.8157286733397,0.06497152501961181,0.6115088562041329,False,False,14,5
"('INTERNAL', ('M0*M2 + M1*M2', 'M0'))",0.3468514180172297,0.059035548010578684,0.016334372713957337,7,1.4948975732601708,9.758498944123795,0.011423993389695493,0.4400817546147241,False,False,14,1
"('TERMINAL', ('B0 + B1*i + B2*s', 'r'))",0.027027850272749256,0.027027850272749256,0.0,7,0.027027850272749256,0.027027850272749256,0.006262370334805062,0.40308802746412303,True,False,0,3
"('INTERNAL', ('M0*M1', 'B0*M1 + M0*M1'))",0.913517247345295,0.40530736053696226,0.1514709630541771,6,1.4350398442460393,9.78156961376111,0.1331119821243723,0.758206222156052,False,False,14,2
"('INTERNAL', ('M0*M2 + M1*M2', 'M0*M2 + M1*M2'))",0.8279775846607331,0.1646837036448572,0.10626891637032873,6,0.9946271420041896,9.757833314660347,0.03610856880772833,0.5769839607714432,False,False,14,2
"('INTERNAL', ('B0*M2 + M0*M2 + M1*M2', 'B1*i'))",0.774175997405329,0.3393301436988145,0.10036626042147682,6,1.5503861510549395,9.83030407673321,0.10167550508638501,0.713794943620838,False,False,7,4
