rank,reward,equations,equations_with_constants
1182,0.8771310006617068,Abs(i)**(3/2)*Abs(s)**(7/4) ; B0*sqrt(Abs(i)) - i*r,Abs(i)**(3/2)*Abs(s)**(7/4) ; -i*r - 0.0061069913614603*sqrt(Abs(i))
1183,0.8771057100048678,B0 + B1*Abs(s)**(1/4) ; B2*i - sqrt(Abs(B3 - i)),0.0523725973182136*Abs(s)**(1/4) - 0.00826852729333041 ; 0.0298165972974136*i - sqrt(Abs(i - 0.135484045727464))
1184,0.877088330165501,B0*i + B1*i*s ; B2 - i,-0.00077532907673313*i*s + 8.20231328790392e-6*i ; 0.0741804276911199 - i
1185,0.8770733861140545,B0 + i**2 ; B1 + B2*i + i*r,i**2 + 0.00558444036547415 ; i*r + 0.1657671890084*i - 0.0135570841457592
1186,0.8769314091541204,B0*i + B1*s ; B2 + i**3 + i,0.899362438853746*i + 0.00807298038304617*s ; i**3 + i + 0.000113528165876026
1187,0.8767761896977471,B0*i*s ; B1 - r + sqrt(Abs(i - r)),-0.0431334432576864*i*s ; -r + sqrt(Abs(i - r)) - 0.137180716560374
1188,0.87675803314011,B0*Abs(i)**(3/2)*Abs(s)**(5/4) ; B1 - sqrt(Abs(i))*Abs(r)**(1/8),0.000131331968762212*Abs(i)**(3/2)*Abs(s)**(5/4) ; -sqrt(Abs(i))*Abs(r)**(1/8) - 0.515240995580722
1189,0.8767295816395819,B0 + B1*i + B1*s ; sqrt(Abs(B2 + i - sqrt(Abs(i)))),0.000445960357770127*i + 0.000445960357770127*s + 0.0469477528495988 ; sqrt(Abs(i - sqrt(Abs(i)) + 24.3659337712983))
1190,0.876710624229987,B0*i + B1*i*s ; B2 + r,-0.00123278187296163*i*s + 0.000237150030856642*i ; r + 0.00190079950899334
1191,0.8767070418261803,B0 + B1*i*s + s ; sqrt(Abs(B2 - i)),-0.0170126899143368*i*s + s - 0.976063915862627 ; sqrt(Abs(i + 0.088218210239328))
1192,0.8767001561060332,B0*s + B2*sqrt(Abs(B1 + s)) ; B3*i + B4*i*r,-0.375552745925083*s + 0.419898508712747*sqrt(Abs(s - 0.159231540857069)) ; 0.0837311088999625*i*r + 0.132361271054804*i
