rank,reward,equations,equations_with_constants
1,0.9509900498957796,B0*i*s ; B1 + B2*i,0.400006419889926*i*s ; 0.100006319607011*i - 3.12020513554929e-7
2,0.9509900498926307,B0*i*s ; B1*i,0.400013801106956*i*s ; 0.100009260714472*i
3,0.9509405608706561,B0*i*s ; B1*Abs(i)**(3/2),0.346612186191208*i*s ; 0.126666768041049*Abs(i)**(3/2)
4,0.9508891369329108,B0*i*s ; B1*i**2,0.330268704106545*i*s ; 0.183326863863851*i**2
5,0.9503017457226071,B0*i*s ; B1 + B2*r,0.259670273027669*i*s ; -2.46340600264317*r - 0.0552071833221845
6,0.9502980229053644,B0*i*s ; B1 - 2*r,0.259301937491859*i*s ; -2*r - 0.0460651818003133
7,0.9502843246493915,B0*i*s ; B1 - r,0.257532565905925*i*s ; -r - 0.0264389473247734
8,0.950258030580956,B0*i*s ; B1*i - r,0.75591330397829*i*s ; 1.85610216049837*i - r
9,0.9502090646088565,B0*i*s ; B1 - i*r,0.25843145946151*i*s ; -i*r - 0.00809652277910337
10,0.9500524443956863,B0*i*s ; B1 + sqrt(Abs(r)),0.237105335643951*i*s ; sqrt(Abs(r)) - 0.209693791545986
11,0.9498735551807014,B0*i*s ; i - r,0.551968504411188*i*s ; i - r
12,0.9493988587578416,B0*i*s ; B1*Abs(i)**(1/4),0.178759952977864*i*s ; -0.0339348106397102*Abs(i)**(1/4)
13,0.949169165303066,B0*i*s ; sqrt(Abs(B1 + i)),-0.00163855429176903*i*s ; sqrt(Abs(i - 10.4671158436749))
14,0.9490737203539789,B0*i*s ; B1 - sqrt(Abs(i)),0.00156731050625653*i*s ; -sqrt(Abs(i)) - 1.49724005409643
15,0.9490576197261547,B0*i*s ; B1 - sqrt(Abs(r)),0.00156500091764105*i*s ; -sqrt(Abs(r)) - 1.51856557888498
16,0.9485676821281691,B0*i*s ; B1 - i - r,0.0159859060008091*i*s ; -i - r - 0.43189456455234
17,0.9485463549382708,B0*i*s ; B1 - Abs(i)**(1/4),0.00641506874883081*i*s ; -Abs(i)**(1/4) - 0.00281800514388455
18,0.948444546097949,B0*i*s ; 3**(1/4)*Abs(i)**(1/4),-0.00470803314464261*i*s ; 3**(1/4)*Abs(i)**(1/4)
19,0.9483438117915939,B0*i*s ; B1*sqrt(Abs(i)),0.319272731238078*i*s ; 0.00177586789425347*sqrt(Abs(i))
20,0.9483425057665181,B0*i*s ; B1*i*r,0.313690617203161*i*s ; 0.00624826487855438*i*r
21,0.9483425057547693,B0*i*s ; B1*Abs(r)**(3/4),0.313693287588783*i*s ; 0.00151652846175745*Abs(r)**(3/4)
22,0.9483425056405382,B0*i*s ; r**2,0.313697327718018*i*s ; r**2
23,0.9483425056350755,B0*i*s ; r,0.313697454466418*i*s ; r
24,0.9483425056331983,B0*i*s ; i*r,0.313697497420085*i*s ; i*r
25,0.9483425056256248,B0*i*s ; sqrt(2)*Abs(r)**(3/2),0.313697667759365*i*s ; sqrt(2)*Abs(r)**(3/2)
26,0.9483425056155909,B0*i*s ; 2*r,0.313697886623244*i*s ; 2*r
27,0.9483425056090357,B0*i*s ; sqrt(Abs(r - sqrt(Abs(r)))),0.313698025739393*i*s ; sqrt(Abs(r - sqrt(Abs(r))))
28,0.9483425055939698,B0*i*s ; B1*Abs(r)**(1/4),0.313684333207558*i*s ; 9.63703706722603*Abs(r)**(1/4)
29,0.9483425055833499,B0*i*s ; Abs(r)**(1/4),0.313698545044993*i*s ; Abs(r)**(1/4)
30,0.9483425055108039,B0*i*s ; r*Abs(i)**(3/2),0.313682825991522*i*s ; r*Abs(i)**(3/2)
31,0.9483425053424933,B0*i*s ; r*sqrt(Abs(i)),0.313702274713292*i*s ; r*sqrt(Abs(i))
32,0.9483425048821041,B0*i*s ; B1*r,0.313707117103445*i*s ; 0.00157593521118538*r
33,0.9483425045182424,B0*i*s ; sqrt(Abs(r)),0.313710079186093*i*s ; sqrt(Abs(r))
34,0.9482626420945124,B0*i*s ; B1 + i*r,0.309789509671574*i*s ; i*r + 7.92114529495754e-10
35,0.9476153679892367,B0*i*s ; sqrt(Abs(B1 + sqrt(Abs(r)))),-0.00160633761980326*i*s ; sqrt(sqrt(Abs(r)) + 27.2443722253365)
36,0.9475871883397092,B0*i*s ; B1 + i + r,-0.00159432561302648*i*s ; i + r + 5.56134419458335
37,0.9465982697994456,B0*i*s ; sqrt(Abs(i - sqrt(Abs(r)))),-0.00264453167038135*i*s ; sqrt(Abs(i - sqrt(Abs(r))))
38,0.9464233763337886,B0*i*s ; B1 + Abs(r)**(1/4),0.00140751821083128*i*s ; Abs(r)**(1/4) - 8.50278683031225
39,0.9451980929263486,B0*i*s ; B1 + i**2,0.422862575502051*i*s ; i**2 + 0.00265148718545063
40,0.944479933227766,s*Abs(i)**(3/2) ; B0 + i - r,s*Abs(i)**(3/2) ; i - r - 0.0786262479109775
41,0.9435175296955063,B0*i*s ; sqrt(Abs(i)),-0.00401095645273478*i*s ; sqrt(Abs(i))
42,0.9430821303697123,B0*i*s ; B1 + sqrt(Abs(i)),0.00115496906327448*i*s ; sqrt(Abs(i)) - 13.3715675147474
43,0.9429700812161317,B0*i*s ; i**2,0.39140828125844*i*s ; i**2
