rank,reward,equations,equations_with_constants
1,0.9509900495906474,B0*i*s ; B1*i,0.400005948390732*i*s ; 0.100000455534524*i
2,0.9135172474631196,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.400001462854734*i*s + 7.06924950280151e-7*s ; 0.0999991774197943*i - 3.61894853434635e-7*r + 3.79830270255589e-7
3,0.9135172474550087,B0*s + B1*i*s ; B2*i + B3*i*r,0.400000805910174*i*s + 3.68626644929494e-7*s ; -4.54662363547936e-7*i*r + 0.10000033167079*i
4,0.913517247454196,B0*s + B1*i*s ; B2 + B3*i,0.400000125315553*i*s + 3.99284854021844e-7*s ; 0.100000081973379*i + 7.2334102432861e-9
5,0.9135172474541757,B0*s + B1*i*s ; B2*i + B3*Abs(i)**(3/2),0.400000239971536*i*s + 3.79589486407805e-7*s ; 0.0999999154716933*i + 3.853225451758e-7*Abs(i)**(3/2)
6,0.9135172474539672,B0*s + B1*i*s ; B2*i + B3*sqrt(Abs(r)),0.400000148032868*i*s + 3.91205118559407e-7*s ; 0.100000107448962*i + 3.25777610251952e-9*sqrt(Abs(r))
7,0.9135172474539027,B0*s + B1*i*s ; B2*i,0.400000186880652*i*s + 3.89214877943722e-7*s ; 0.100000118395466*i
8,0.9135172474415287,B0*i + B1*i*s ; B2 + B3*i + B4*r,0.400004016203415*i*s - 3.91183687925455e-6*i ; 0.0999999420229087*i + 3.57018535992955e-7*r - 3.41744298190064e-7
9,0.9135172474265891,B0 + B1*i*s ; B2 + B3*i + B4*r,0.399999235255107*i*s + 2.39943616740484e-7 ; 0.10000049687754*i + 3.59799144820366e-7*r - 1.72509505849684e-7
10,0.9135172474196372,B0*i*s ; B1 + B2*i + B3*r,0.399999278579188*i*s ; 0.100001198221953*i + 4.03711394027322e-7*r - 4.23713867977528e-7
11,0.9135172473405678,B0*i + B1*i*s ; B2 + B3*i,0.400011302516792*i*s - 6.26874236558693e-6*i ; 0.0999988972519477*i - 2.99898311428469e-8
12,0.913517247340528,B0*i + B1*i*s ; B2*i + B3*r,0.400013333991887*i*s - 8.23094038559023e-6*i ; 0.0999981898930609*i + 3.15745117524921e-8*r
13,0.913517247339994,B0*i + B1*i*s ; B2*i + B3*sqrt(Abs(r)),0.400013331079373*i*s - 8.1884843988274e-6*i ; 0.0999981865481139*i + 2.94924816469388e-8*sqrt(Abs(r))
14,0.9135172473372841,B0*i + B1*i*s ; B2*i + B3*i**2,0.40001417898504*i*s - 8.68602430797917e-6*i ; -1.58030391209036e-6*i**2 + 0.0999986265687714*i
15,0.9135172473362868,B0*i + B1*i*s ; B2*i + B3*i*r,0.400012347379975*i*s - 6.67983659269042e-6*i ; -4.44404495378482e-7*i*r + 0.0999988637204023*i
16,0.9135172473358952,B0*i + B1*i*s ; B2*i,0.400012696675589*i*s - 7.39966950461914e-6*i ; 0.0999984805700527*i
17,0.9135172473116677,B0*i*s ; B1*i + B2*i*r,0.400008529873023*i*s ; -3.73471090110505e-6*i*r + 0.100002060950888*i
18,0.9135172473092273,B0 + B1*i*s ; B2*i + B3*i**2,0.400004238551753*i*s + 8.21543848496879e-8 ; 3.05166051585154e-6*i**2 + 0.0999995670914617*i
19,0.9135172472868199,B0*i*s ; B1*i + B2*i**2,0.400004682829552*i*s ; 6.46856460058236e-6*i**2 + 0.0999984526304551*i
20,0.908347460069001,B0*i + i*Abs(s)**(1/4) ; B1 + B2*i + B3*r,i*Abs(s)**(1/4) - 0.674550159449106*i ; 0.0844025462654971*i + 0.00299587975322142*r - 0.00206626361554978
21,0.9082212088478562,B0*s + B1*s**2 ; B2*i + B3*i*r,-0.285423497939153*s**2 + 0.288382781242022*s ; -0.0412812994995181*i*r + 0.123638666463599*i
22,0.9078356969588822,B0*s + B1*s**2 ; B2*i + B3*i**2,-0.271687845705751*s**2 + 0.274657311266363*s ; 0.0879554290130656*i**2 + 0.0781008941207551*i
23,0.9044105111234103,B0*s + B1*s**2 ; B2 + B3*i + B4*r,-0.261351094037098*s**2 + 0.267351470598989*s ; 0.0914938162695642*i - 0.00585817825600437*r + 0.00552766990081176
24,0.9043820748626429,B0*i + B1*i*s ; B2*i + B3*Abs(i)**(5/4),0.400012342302523*i*s - 7.09984392226346e-6*i ; 0.0999982381483278*i + 4.37346109068134e-7*Abs(i)**(5/4)
25,0.9036675020458463,B0*i + i*sqrt(Abs(B1 + s)) ; B2*i + B3*i**2,i*sqrt(Abs(s + 0.99983975915166)) - 1.02868158693463*i ; 0.00720099603689123*i**2 + 0.0930816135698428*i
26,0.9036578348949148,B0*i + i*sqrt(Abs(B1 + s)) ; B2 + B3*i,i*sqrt(Abs(s + 0.96408937418974)) - 1.0157284682815*i ; 0.0944797047330936*i - 5.41859433584587e-5
27,0.9021041050224731,B0*s + B1*s**2 ; B2*i + B3*r,-0.258946659506941*s**2 + 0.263651447038064*s ; 0.105169149332665*i - 0.000696058272444173*r
28,0.9019051285508427,B0*s + B1*s**2 ; B2*i + B3*Abs(r)**(1/4),-0.258417467181605*s**2 + 0.26311462407416*s ; 0.10598354053935*i - 0.000683302797665251*Abs(r)**(1/4)
29,0.9014894421069328,B0*s + B1*s**2 ; B2 + B3*i,-0.257973724866957*s**2 + 0.262602426678298*s ; 0.10653299210659*i - 0.000641800828026694
30,0.9013353183198843,B0*i*Abs(s)**(3/4) ; B1 + B2*i + B3*r,0.333120257353637*i*Abs(s)**(3/4) ; 0.114829121093543*i + 0.00288465833882496*r - 0.00374416108489219
31,0.8998021266373396,B0*i + B1*i*sqrt(Abs(s)) ; B2*i + B3*r,0.642671554086653*i*sqrt(Abs(s)) - 0.276607401320008*i ; 0.0816147143506822*i + 0.000416362983929235*r
32,0.8995357864492115,B0*s + B1*s**2 ; B2*i,-0.253894595989783*s**2 + 0.259063035594975*s ; 0.103338406132277*i
33,0.8984841880103973,B0*i + B1*i*s ; B2*i**2 + B2*i*r,0.392514813587779*i*s - 0.0905709488470462*i ; 0.132923048772078*i**2 + 0.132923048772078*i*r
34,0.8984645246495446,B0*s + B1*i*s ; B2*sqrt(Abs(i)) + B3*r,0.43386629194211*i*s + 0.00704513142684153*s ; -0.00762660517606247*r + 0.0586471115017304*sqrt(Abs(i))
35,0.8961410592331572,B0*i*Abs(s)**(3/2) ; B1 + B2*i + B2*sqrt(Abs(i)),0.474141273595555*i*Abs(s)**(3/2) ; 0.0331285957991315*i + 0.0331285957991315*sqrt(Abs(i)) - 0.00218107406555927
36,0.8960561184473274,B0*i*Abs(s)**(3/2) ; B1*i + B2*Abs(i)**(3/2),0.468570792017857*i*Abs(s)**(3/2) ; 0.154325801875756*i - 0.122406927986322*Abs(i)**(3/2)
37,0.8953382542332893,B0*s + B1*i*s ; B2*i + B3*i**2*r,0.400001472308309*i*s + 3.69241109711647e-7*s ; -5.3784511594164e-6*i**2*r + 0.100000795829988*i
38,0.8953382542311903,B0*s**2 + B1*i*s ; B2*i + B3*i**2,0.400000718537608*i*s + 3.76396506433651e-7*s**2 ; 5.8209283869855e-7*i**2 + 0.099999926071796*i
39,0.8953382542306954,B0*s**2 + B1*i*s ; B2*i + B3*r,0.40000069281363*i*s + 3.8736538503115e-7*s**2 ; 0.100000101531692*i - 2.47754509193422e-9*r
40,0.8953382542306744,B0*s**2 + B1*i*s ; B2 + B3*i,0.40000065536262*i*s + 3.90879692871546e-7*s**2 ; 0.100000086605674*i + 1.63620988464835e-9
41,0.8953382542306588,B0*s**2 + B1*i*s ; B2*i,0.400000665365114*i*s + 3.88687575900516e-7*s**2 ; 0.100000094905216*i
42,0.8953382542301251,B0*s + B1*i*s ; B2*i + B3*i*Abs(r)**(1/4),0.400000826020264*i*s + 3.77416198618373e-7*s ; -8.18688367469912e-7*i*Abs(r)**(1/4) + 0.100000768777523*i
43,0.8953382542257169,B0 + B1*i + B2*i*s ; B3 + B4*i + B5*r,0.400004135672499*i*s - 4.04998389934661e-6*i + 2.64954483033604e-7 ; 0.0999991232067363*i + 3.06880287756484e-7*r - 6.14607236441289e-8
44,0.8953382542211854,B0*i**2 + B1*i*s ; B2 + B3*i + B4*r,-4.02426574847122e-6*i**2 + 0.400001305761338*i*s ; 0.10000059530878*i + 3.46937586989168e-7*r - 3.21604736762816e-7
45,0.8953382541715016,B0*i**2 + B1*i*s ; B2*i + B3*i**2,-1.70356662433006e-5*i**2 + 0.40001095428399*i*s ; -1.31481460415841e-5*i**2 + 0.100003105874527*i
46,0.8953382541518442,B0*i**2 + B1*i*s ; B2*i + B3*i*r,-1.65612701024202e-5*i**2 + 0.400003931902517*i*s ; 6.33998284828027e-6*i*r + 0.0999963490232531*i
47,0.8953382541405572,B0*i**2 + B1*i*s ; B2*i + B3*r,-8.11535040599558e-6*i**2 + 0.400006909517604*i*s ; 0.0999996658217941*i + 5.17898594095658e-8*r
48,0.89533825413897,B0*i**2 + B1*i*s ; B2 + B3*sqrt(Abs(i)) + B4*i,-9.88894253369114e-6*i**2 + 0.400008262942669*i*s ; 0.099997288225229*i + 1.54364459344741e-6*sqrt(Abs(i)) - 1.54060515396269e-7
49,0.8953382541329347,B0*Abs(i)**(3/2) + B1*i*s ; B2*i,0.400007704799962*i*s - 5.34531535027896e-6*Abs(i)**(3/2) ; 0.0999996609534011*i
50,0.8953382541296733,B0*i**2 + B1*i*s ; B2 + B3*i,-6.41769635803927e-6*i**2 + 0.400006731559882*i*s ; 0.0999999625671975*i - 1.10417996391817e-8
51,0.8953382541291378,B0*i**2 + B1*i*s ; B2*i,-6.81298613532555e-6*i**2 + 0.400006921595506*i*s ; 0.0999998873160214*i
52,0.8953382540714032,B0*i*s ; B1*i + B2*i*r**2,0.400007418006555*i*s ; -3.05164531512418e-6*i*r**2 + 0.100001193657275*i
53,0.8942990724945882,B0*s + s*sqrt(Abs(B1 + s)) ; B2 + B3*i,s*sqrt(Abs(s - 4.42979221195546)) - 1.84813240584282*s ; 0.106551888323908*i - 0.000635680087130552
54,0.894194275272646,B0*s + B1*s**3 ; B2*i + B3*r,-0.180258444034541*s**3 + 0.179327943265267*s ; 0.103474676490824*i - 0.000226075761649417*r
55,0.8939247332929088,B0*s + B1*s**3 ; B2*i,-0.179292019501895*s**3 + 0.178472617368526*s ; 0.102893073191927*i
56,0.8937304535093884,B0*i**2 + B1*i*s ; B2*i**2 + B2*i,0.063100706644049*i**2 + 0.375756282884379*i*s ; 0.0805710512263652*i**2 + 0.0805710512263652*i
