time,estimated_X,estimated_Y
0.0,10.0,5.0
0.20134228187919462,11.097579934298691,4.549717823677988
0.40268456375838924,12.40950490125102,4.23900401585701
0.6040268456375839,13.944264238952625,4.063341642517379
0.8053691275167785,15.70213682860621,4.027453015478983
1.006711409395973,17.666480340438312,4.148408559745754
1.2080536912751678,19.79014281931696,4.460272918471474
1.4093959731543624,21.975244321691882,5.020386372993855
1.610738255033557,24.04641356368992,5.915510660591013
1.8120805369127515,25.724961061785688,7.260503720724718
2.013422818791946,26.630156651857337,9.170390488732256
2.2147651006711406,26.36079014896403,11.675295564012483
2.4161073825503356,24.700012346846044,14.575571894659692
2.61744966442953,21.85175039415628,17.352299235944148
2.8187919463087248,18.44045072661215,19.335261396060226
3.0201342281879193,15.17142610955199,20.08640633375676
3.221476510067114,12.481906756368014,19.61777321022468
3.4228187919463084,10.483394066959162,18.264040797800742
3.624161073825503,9.100600272394722,16.433141483767358
3.8255033557046976,8.206430243165773,14.452668105369115
4.026845637583892,7.687379499795353,12.5329061896213
4.228187919463087,7.460801960328454,10.786787880448005
4.429530201342281,7.472775209265518,9.262041134583699
4.630872483221476,7.6914015111990945,7.968014691314278
4.832214765100671,8.100639360012337,6.894016363408059
5.033557046979865,8.695672025360674,6.0207152076633035
5.23489932885906,9.479536586528685,5.326875556647679
5.4362416107382545,10.4604565520662,4.79326459392845
5.6375838926174495,11.64928920173731,4.405032886999192
5.838926174496644,13.056453425228465,4.153470873989323
6.040268456375839,14.68755544815518,4.0378237472659615
6.241610738255033,16.53664185958794,4.067765362550789
6.442953020134228,18.57559838251217,4.2671135269127
6.644295302013423,20.737875446294414,4.679213091724788
6.845637583892617,22.895239267470814,5.3735285866579225
7.046979865771812,24.829898775228585,6.449866790218152
7.248322147651006,26.216002335829327,8.028546882400295
7.449664429530201,26.64850550939667,10.201240830323979
7.651006711409395,25.777319992919246,12.915857359347948
7.85234899328859,23.548710380606156,15.8336145191124
8.053691275167784,20.37187995846856,18.33267465281058
8.25503355704698,16.956270867719013,19.80048057889457
8.456375838926174,13.915275590124109,19.992130897641395
8.657718120805368,11.533219975082206,19.089508985345393
8.859060402684563,9.82055215678305,17.484866926078457
9.060402684563758,8.667783712417426,15.560388860740849
9.261744966442953,7.950012764332264,13.591452578647154
9.463087248322147,7.567117164469512,11.74174436700123
9.664429530201343,7.449913098399415,10.091933982746184
9.865771812080537,7.55502241016743,8.670337010348213
10.06711409395973,7.858165959974405,7.475916295670353
10.268456375838925,8.348681241669015,6.493275901554482
10.46979865771812,9.025513298895216,5.70175207708949
10.671140939597315,9.894225139414491,5.0807204756034405
10.872483221476509,10.964450918607975,4.612709634446325
11.073825503355703,12.24719346346711,4.285420597776809
11.275167785234899,13.75128319798021,4.093438119523348
11.476510067114093,15.478108694547796,4.040265451462112
11.677852348993287,17.413381595534247,4.141272308594339
11.879194630872483,19.514280593394275,4.428102842599957
12.080536912751677,21.690211815198015,4.954719979891337
12.281879194630871,23.77692318718905,5.803648871518747
12.483221476510066,25.510137768326633,7.086049635155412
12.684563758389261,26.521817079718506,8.918346778667887
12.885906040268456,26.408781243914827,11.345891061690036
13.08724832214765,24.92167657963272,14.204110494898242
13.288590604026846,22.206133912627852,17.013682686614462
13.48993288590604,18.84314328078163,19.110440056578586
13.691275167785234,15.54393134738958,20.014632760836303
13.892617449664428,12.784184729155095,19.684383714966803
14.093959731543624,10.709708555645024,18.42511713806945
14.295302013422818,9.261382396809424,16.643022746727187
14.496644295302012,8.315287007695403,14.676978360373257
14.697986577181208,7.755745068718805,12.75016618482405
14.899328859060402,7.496813576600676,10.985535181627181
15.100671140939596,7.4816574832564156,9.437383903088062
15.30201342281879,7.6761436670762455,8.118926370861738
15.503355704697986,8.06258376732636,7.021511331097145
15.70469798657718,8.634952709268997,6.126707262365317
15.906040268456374,9.395404112725437,5.413489373195485
16.10738255033557,10.351547470873289,4.862420015499717
16.308724832214764,11.513904421340465,4.458172594811687
16.51006711409396,12.89292165317224,4.191336903969344
16.711409395973153,14.494783816914419,4.060204885801421
16.91275167785235,16.315001278838448,4.073139138535958
17.11409395973154,18.32835314703273,4.252103298276073
17.315436241610737,20.47341256071137,4.637803879589382
17.516778523489933,22.630250110816746,5.296133646576429
