rank,reward,equations,equations_with_constants
1,0.9159924674491299,B0*i*s ; B1 + B2*i,0.398226052555059*i*s ; 0.100283701271539*i + 6.18051838668424e-5
2,0.9159605953595793,B0*i*s ; B1*i,0.39751775823093*i*s ; 0.100522095136249*i
3,0.8977614898719607,B0 + B1*i*s ; B2*i + B3*r,0.399489063652163*i*s - 0.00012944693636821 ; 0.100599784272449*i - 7.69080951534746e-5*r
4,0.8977569115902453,B0 + B1*i*s ; B2*i,0.398286374031978*i*s - 5.94728037479848e-5 ; 0.10048047824576*i
5,0.8977475008013123,B0*i*s ; B1*i + B2*r,0.397337228129755*i*s ; 0.10041873800149*i + 4.73258972699884e-5*r
6,0.8887697923020995,B0*i*s ; B1*i + B2*sqrt(Abs(r)),0.397383458284266*i*s ; 0.100389972841294*i + 4.64863423367247e-5*sqrt(Abs(r))
7,0.8839897312895495,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.40987508906382*i*s ; 0.0745272457996959*sqrt(Abs(i)) - 0.0106132354751613
8,0.8802778485699696,B0*i + B1*i*s ; B2*i + B3*i**2,0.375427338985169*i*s + 0.0218204865687*i ; 0.0134170100180385*i**2 + 0.102510801981523*i
9,0.8802454625593233,B0*i + B1*i*s ; B2 + B3*i + B4*r,0.378774387535131*i*s + 0.0166827365028282*i ; 0.105868136456765*i + 0.000163981928778621*r - 0.000277851845689441
10,0.8802344515359776,B0*i + B1*i*s ; B2 + B3*i,0.382491457633365*i*s + 0.0152509140542866*i ; 0.105195631526894*i - 0.000116283937303766
11,0.8801970533410395,B0*i + B1*i*s ; B2*i + B3*i*r,0.384992043340111*i*s + 0.0167148761496667*i ; -0.00350384049915118*i*r + 0.106721298697987*i
12,0.8801736802905439,B0*i + B1*i*s ; B2*i,0.387593637390691*i*s + 0.0110073247205212*i ; 0.103544610194757*i
13,0.8800944532574663,B0 + B1*i*s ; B2*i + B3*i*r,0.390776379975479*i*s + 0.000133694153863252 ; 0.00734468317454579*i*r + 0.0974863552980916*i
14,0.8800429781170758,B0*s + B1*i*s ; B2*i + B3*i*r,0.395038046547695*i*s - 3.28740436310756e-5*s ; 0.00430371140217716*i*r + 0.098712250165591*i
15,0.8800424584672545,B0*i*s ; B1*i + B2*i*r,0.394378766732863*i*s ; 0.00458543352197754*i*r + 0.0985643046695867*i
16,0.8799684551982119,B0*s + B1*i*s ; B2*i,0.401733971042215*i*s - 0.000294313280489437*s ; 0.100777916308762*i
17,0.8799620087130209,B0*i*s ; B1*i + B2*Abs(i)**(3/2),0.398881965762056*i*s ; 0.103746203712669*i - 0.00589421835431665*Abs(i)**(3/2)
18,0.8799315714624342,B0*i*s ; B1 + B2*i + B3*r,0.401882894824695*i*s ; 0.0999880494535979*i - 0.000265723388060245*r + 0.000289181756916876
19,0.8790344330915276,B0*s + B1*s**2 ; B2*i + B3*i**2,-0.261650942696711*s**2 + 0.265519393489125*s ; 0.0732139877647854*i**2 + 0.0829693936438793*i
20,0.8790272771344995,B0*s + B1*s**2 ; B2 + B3*i + B4*r,-0.253819577179672*s**2 + 0.260812774347878*s ; 0.0896115437534641*i - 0.00657721782476653*r + 0.00637271982800228
21,0.8754967173184074,B0*s + B1*s**2 ; B2 + B3*i,-0.250387469299286*s**2 + 0.255719028816456*s ; 0.106487202009935*i - 0.000540850412299246
22,0.8752048439991009,B0*s + B1*s**2 ; B2 + sqrt(Abs(B3 + B4*i)),-0.249879396485218*s**2 + 0.255281181911297*s ; sqrt(Abs(0.345238182159359*i + 2.57117287640065)) - 1.60406665218576
23,0.8741601807264592,B0 - sqrt(Abs(B1 + B2*s)) ; B3 + B4*i,0.125853891130651 - sqrt(Abs(0.0267255312558233*s - 0.0137868306254335)) ; 0.106795236981615*i + 0.000484152932102337
24,0.874148624903805,B0*s + B1*s**2 ; B2*i,-0.247021491437573*s**2 + 0.252820407732572*s ; 0.103781381243383*i
25,0.8732330594614127,B0 + B2*sqrt(Abs(B1 + s)) ; B3*i,0.127578112836749 - 0.167070135140337*sqrt(Abs(s - 0.518020691932324)) ; 0.10811210708888*i
26,0.871317782724948,B0 + B1*i*s ; B2*i + B3*i*sqrt(Abs(r)),0.387700365037667*i*s + 0.000134584200015566 ; 0.0113472289310678*i*sqrt(Abs(r)) + 0.0935556493413468*i
27,0.8712624921405288,B0*i*s ; B1*i + B2*i*sqrt(Abs(r)),0.392329007502742*i*s ; 0.00727859135039512*i*sqrt(Abs(r)) + 0.0959835153031927*i
28,0.8711953260502239,B1*i*s*sqrt(Abs(B0 + i)) ; B2*i,0.130840751191192*i*s*sqrt(Abs(i + 9.08934930797808)) ; 0.100786399286888*i
29,0.8710430986930794,B1*i*s*sqrt(Abs(B0 + s)) ; B2*i,0.0304323711818515*i*s*sqrt(Abs(s + 169.801891858989)) ; 0.100487812868233*i
30,0.8709741556353138,B0*s + s*sqrt(Abs(B1 + i)) ; B2*i,s*sqrt(Abs(i + 1.37842382350603)) - 1.1753150067333*s ; 0.100804742455027*i
31,0.8694521468691628,B0 + B1*sqrt(Abs(i))*sqrt(Abs(s)) ; B2 + B3*i + B4*r,0.186360861619865*sqrt(Abs(i))*sqrt(Abs(s)) - 0.00159756141101704 ; 0.0608543861997705*i - 0.0200561214586743*r + 0.0199590095999254
32,0.8693212657197835,B0*s + B1*s**2 ; B2*i + B3*Abs(i)**(5/4),-0.258535547408821*s**2 + 0.262783858079468*s ; 0.0505440726357688*i + 0.0744022186529668*Abs(i)**(5/4)
33,0.8692994873437001,B0*i ; i*sqrt(Abs(B1 - r)),-1.16162458538707*i ; i*sqrt(Abs(r - 3.11924214100727))
34,0.8687337774764071,B0*i + B1*i*s ; B2 + B3*sqrt(Abs(i)),0.509636801414391*i*s - 0.0872540766209259*i ; 0.0550907316397095*sqrt(Abs(i)) - 0.00617713573383906
35,0.8685412718339627,s*sqrt(Abs(B0*s + B1)) ; B2*i,s*sqrt(Abs(0.0322526202163119*s - 0.0300340270270532)) ; 0.100998668636204*i
36,0.8657864198726284,B1*s*sqrt(Abs(B0 + sqrt(Abs(s)))) ; B2 + B3*i,0.221129952065983*s*sqrt(Abs(sqrt(Abs(s)) - 0.981545637986328)) ; 0.103534623197593*i - 0.000121860734983572
37,0.8653407598447573,B0*i + B1*i*sqrt(Abs(s)) ; B2*i,0.613683153164016*i*sqrt(Abs(s)) - 0.249711027884622*i ; 0.0855346540242248*i
38,0.8649661077612388,B0*i + B1*i*s ; B2*i*r**2 + B2*i,0.457338634861786*i*s - 0.0849522817107349*i ; 0.0704541428232931*i*r**2 + 0.0704541428232931*i
39,0.86425009839983,s*sqrt(Abs(B0 + B1*s)) ; B2 + B3*sqrt(Abs(i)),s*sqrt(Abs(0.0328943026345912*s - 0.030601576653127)) ; 0.0710093913966982*sqrt(Abs(i)) - 0.00894296765052455
40,0.86418831235553,B0 + B1*sqrt(Abs(s)) + B2*s ; B3 + B4*i + B5*r,-0.596544928463259*s + 0.846388135772861*sqrt(Abs(s)) - 0.238682743768823 ; 0.0719612084484816*i - 0.00635455959088918*r + 0.00576598585055925
41,0.8638569732703235,B0*s + B1*s*sqrt(Abs(i)) ; B2*i + B3*i*r,0.252571321384587*s*sqrt(Abs(i)) - 0.0328308510664054*s ; 0.0332886720976183*i*r + 0.0857600767639194*i
42,0.8633660904342493,B0*s + B1*s**2 ; B2 + B3*sqrt(Abs(r)) + B4*r,-0.314802434025056*s**2 + 0.315984272152481*s ; -0.189468486933124*r + 0.197036240167024*sqrt(Abs(r)) - 0.00749100644193475
43,0.862734920227585,B0 + B1*i + B2*i*s ; B3*i + B4*i*r,0.381223261197591*i*s + 0.016790140250164*i + 0.000136821565492842 ; -0.000752835086840058*i*r + 0.105625994703577*i
44,0.8627341400854285,B0 + B1*i + B2*i*s ; B3*i,0.381433261736653*i*s + 0.0158355177025705*i + 0.000144969086913521 ; 0.105024158728435*i
45,0.8626999034093537,B0 + B1*sqrt(Abs(s)) + B2*s ; B3*i,-0.717812001732882*s + 1.04603744777444*sqrt(Abs(s)) - 0.320859070219845 ; 0.0819771554001022*i
46,0.8626476920895115,B0*Abs(s)**(3/2) + B1*s**2 ; B2*i + B3*i*r,-0.618432560450139*s**2 + 0.619673625011709*Abs(s)**(3/2) ; 0.0154143146287347*i*r + 0.0951730530293864*i
47,0.8625636862258828,B0*s + B1*s*sqrt(Abs(i)) ; i*sqrt(Abs(B2 + B3*i)),0.275849589402349*s*sqrt(Abs(i)) - 0.0357966352963347*s ; i*sqrt(Abs(0.0105647209187733*i - 0.0132412798209092))
48,0.8625532633085468,B0*i**2 + B1*i*s ; B2*i + B3*r**2,0.00911221937570941*i**2 + 0.396490354645497*i*s ; 0.101411873990376*i - 7.72763222074549e-5*r**2
49,0.8625520831227214,B0 + B1*s + B2*i*s ; B3 + B4*i,0.401614096038906*i*s - 0.000495928128771893*s + 0.000970272490737209 ; 0.0984199957535968*i + 0.000832299668071751
50,0.8625301859995593,B0*i**2 + B1*i*s ; B2*i,0.00727601948500468*i**2 + 0.396500707254521*i*s ; 0.101137306057913*i
51,0.8625071697427872,B0 + B1*s + B2*i*s ; B3*i + B4*Abs(i)**(3/2),0.401052879696605*i*s - 0.000241714129511846*s + 0.000127365971776029 ; 0.104928969477968*i - 0.00751203361757631*Abs(i)**(3/2)
52,0.8624790002278258,B0*s**2 + B1*i*s ; B2*i + B3*i**2,0.400723917454464*i*s - 0.000186484889379999*s**2 ; -0.00392694059583806*i**2 + 0.101905426281975*i
53,0.8624674320673643,B0*Abs(s)**(3/2) + B1*s**2 ; B2 + B3*i + B4*r,-0.638301135384313*s**2 + 0.638410016686834*Abs(s)**(3/2) ; 0.108148597150364*i + 0.00259906366584626*r - 0.00250448245189036
54,0.8624631843583641,B0*s**2 + B1*i*s ; B2*sqrt(Abs(i)) + B3*i,0.401155387179006*i*s - 0.000248699687878127*s**2 ; 0.100344144766796*i + 0.000215229826311659*sqrt(Abs(i))
55,0.862460794079982,B0 + B1*s + B2*i*s ; B3*i,0.40200159924922*i*s - 0.000340889862238042*s + 3.07650300244929e-5 ; 0.100839917079462*i
56,0.8624599705749898,B0*s**2 + B1*i*s ; B2*i + B3*r,0.401299043142748*i*s - 0.000290667313051905*s**2 ; 0.100776073994972*i + 7.84058184511743e-6*r
57,0.8624597901652589,B0*s**2 + B1*i*s ; B2*i + B3*r**2,0.401336276335168*i*s - 0.000292583950920551*s**2 ; 0.100786329250298*i + 5.67871590715558e-6*r**2
58,0.8624596239415864,B0*s**2 + B1*i*s ; B2 + B3*i,0.401416223233054*i*s - 0.000298682665251563*s**2 ; 0.100806925314245*i - 1.6081724604489e-6
59,0.8624596150740307,B0*Abs(s)**(3/2) + B1*i*s ; B2*i,0.40158280037329*i*s - 0.000296369816109741*Abs(s)**(3/2) ; 0.100797083944431*i
60,0.8624596120023982,B0*s**2 + B1*i*s ; B2*i,0.401403953281016*i*s - 0.000296330317115342*s**2 ; 0.100798516573122*i
61,0.8624232835264513,B0*i*s ; B1*i + B2*i**2*r,0.393645919851193*i*s ; 0.0213500963135492*i**2*r + 0.0979356921676837*i
62,0.8618526601071207,B0*i**2 + B1*i*s ; B2*i**2*r + B2*i,0.00511524142339723*i**2 + 0.380690606058263*i*s ; 0.0902485180407155*i**2*r + 0.0902485180407155*i
63,0.8617835708059389,B0*s**2 + B1*i*s ; B2*i**2*r + B2*i,0.379863218740796*i*s + 0.000131959147640075*s**2 ; 0.0898019721413298*i**2*r + 0.0898019721413298*i
64,0.8616923399162169,B0*s + B1*s**3 ; B2 + sqrt(Abs(B3 + B4*i)),-0.178249148065114*s**3 + 0.177290833220477*s ; sqrt(Abs(0.188102271652634*i + 0.773589217622906)) - 0.879838574460679
65,0.8616674493868973,B0*s + B1*s**3 ; B2 + B3*i,-0.178793420369205*s**3 + 0.177742189529271*s ; 0.104876327285157*i - 0.000243863898417234
66,0.8610556051470836,B0 + B1*s + B2*s**2 ; B3 + B4*i,-0.308569800600322*s**2 + 0.344319849813331*s - 0.0326801172570646 ; 0.092595849167632*i - 9.19639201091586e-5
67,0.8607414905961953,s*sqrt(Abs(B0*s + B1)) ; B2 + B3*i + B4*r,s*sqrt(Abs(0.0351272099359217*s - 0.0325679947430816)) ; 0.091080218488241*i - 0.00394353741477864*r + 0.00424996490764772
68,0.859867860740928,B0*i*Abs(s)**(3/2) ; B1 + B2*i,0.449943918496035*i*Abs(s)**(3/2) ; 0.0826016203013097*i + 0.00142971874197947
69,0.8596045250094321,B0*s + B1*s*sqrt(Abs(i)) ; B2*i,0.282405255356423*s*sqrt(Abs(i)) - 0.0372574680021213*s ; 0.101144830221138*i
70,0.8594468706603542,B0 + B1*i*s**2 ; B2*i + B3*i*r,0.372231323679771*i*s**2 + 0.000409489452632965 ; 0.129318776135252*i*r + 0.0416596848064964*i
71,0.8593503716293314,B0 + B1*s + B2*Abs(s)**(3/2) ; B3 + B4*i,0.70942344714352*s - 0.635777777786883*Abs(s)**(3/2) - 0.0691126898254156 ; 0.0866817933151681*i + 8.17519756105654e-5
72,0.8591114861368699,B0 + B1*sqrt(Abs(s)) + B2*s ; B3 + B4*sqrt(Abs(i)),-0.974644301947238*s + 1.49774811414465*sqrt(Abs(s)) - 0.517391911591057 ; 0.0464444642457533*sqrt(Abs(i)) - 0.00478829095925675
73,0.8590157202214838,B0*i*s**2 ; B1*i + B2*i*r,0.381734532855832*i*s**2 ; 0.122254807947143*i*r + 0.0429884433852808*i
74,0.8579107110072437,B1*s*sqrt(Abs(B0 + i)) ; B2*i,0.250477519773534*s*sqrt(Abs(i - 0.0848233403571742)) ; 0.0983912660622007*i
75,0.857173680834394,B0*s + B1*s*Abs(i)**(3/2) ; B2*i + B3*i*r,0.696038093449642*s*Abs(i)**(3/2) + 0.0130865614641892*s ; -0.0152405836215912*i*r + 0.107880774985626*i
76,0.8569193103544179,B0*i**2 + B1*i*s ; B2 + B3*Abs(i)**(3/2) + B4*r,0.169950142451626*i**2 + 0.313714746595275*i*s ; 0.00172519691085522*r + 0.212317565442241*Abs(i)**(3/2) - 0.000835808155525464
77,0.8565202997063166,B0*i*Abs(s)**(3/2) ; B1 + B2*i + B3*r,0.588255553426496*i*Abs(s)**(3/2) ; 0.0740325017454457*i - 0.00686627038160092*r + 0.0074345561699069
78,0.8560221410669036,B0 + B1*s + B2*i*s ; B3*i**2 + B3*i,0.412925721625242*i*s - 0.00135174109203682*s - 0.000708888709249813 ; 0.0776819199458358*i**2 + 0.0776819199458358*i
79,0.8547180371912028,B0*s + B1*i*s**2 ; B2 + B3*i + B4*i*r,0.476967894699563*i*s**2 - 0.00670461418518143*s ; 0.0967261099002153*i*r + 0.0595889804312689*i - 0.00200989949568182
80,0.8541233565892944,B0*i + B2*i*sqrt(Abs(B1 + s)) ; B3 + B4*i,-1.73131977138851*i*sqrt(Abs(s - 5.73586253493354)) + 4.17031340446743*i ; 0.107217232557545*i - 9.88279295242069e-5
81,0.8539396721157957,B0*i**2 + B1*i*sqrt(Abs(s)) ; B2 + B3*i,-0.219723995644082*i**2 + 0.39335249378723*i*sqrt(Abs(s)) ; 0.104329024108641*i - 0.000199993003712437
82,0.8538812346613517,B0*i**2 + B1*i*sqrt(Abs(s)) ; B2*i + B3*r**2,-0.224211099082186*i**2 + 0.396481229304963*i*sqrt(Abs(s)) ; 0.103635448000464*i - 0.000153882359251249*r**2
