rank,reward,equations,equations_with_constants
1837,0.214450971369018,B0*s + s**2 ; B2*sqrt(Abs(B1 + sqrt(Abs(r)))),s**2 - 0.750755268068098*s ; 0.00930250974386451*sqrt(Abs(sqrt(Abs(r)) - 0.0794854377528119))
1838,0.21432363987076034,B0*s + Abs(i)**(1/4)*Abs(s)**(3/2) ; B1 + B2*i,-0.386117009981362*s + Abs(i)**(1/4)*Abs(s)**(3/2) ; 0.0780143025033211*i - 0.00689590681222627
1839,0.21341628476854876,B0 + B1*s**2 - i ; i,-i - 0.00570874672396719*s**2 + 0.540962655846573 ; i
1840,0.21308306884341655,B0*s ; B1 + B2*i + i**2,0.055902132446761*s ; i**2 - 0.151681845299323*i + 0.0108043989240922
1841,0.21304048555492733,i*s*sqrt(Abs(B0 - s)) + i ; B1*i + i**2 - i*r + i*sqrt(Abs(B2 + r)),i*s*sqrt(Abs(s + 1.05044254755514)) + i ; i**2 - i*r + i*sqrt(Abs(r - 0.968808392033813)) + 1.15457996139836*i
1842,0.21228386226465185,B0*i*s - i*Abs(s)**(3/2) ; B1*i,0.96678962427783*i*s - i*Abs(s)**(3/2) ; -0.18510149693428*i
1843,0.21227291487515962,B0*Abs(i)**(1/4) + B1*s ; B2*i + i**2,0.0354070497329617*s + 0.109308315348755*Abs(i)**(1/4) ; i**2 + 0.0620422889536423*i
1844,0.21202299211886608,B0 + B1*i + B2*s ; B3 - i*r + r**2,1.41605031127096*i + 0.958519155063114*s - 1.94127048830705 ; -i*r + r**2 - 1.03940555075049
1845,0.21185274715252297,B0 + B1*i*s ; i**2,0.396204665550545*i*s - 0.00301304785600514 ; i**2
1846,0.211711491905265,s - Abs(i - sqrt(Abs(i)))**(1/4) ; B0 + B1*i + B2*r,s - Abs(i - sqrt(Abs(i)))**(1/4) ; -0.167298893510777*i - 0.112614293778987*r + 0.048087800867609
1847,0.21170393094705628,B0*s - sqrt(Abs(s)) ; B1*i + B2*r,1.18323525913658*s - sqrt(Abs(s)) ; 0.0123908753676957*i + 0.0176044827187113*r
1848,0.21103378874155876,B0*s*Abs(i)**(1/4) + s**2 ; B1*i + B2*i**2 - i*r,s**2 - 1.26881807636623*s*Abs(i)**(1/4) ; -3.06545692484002*i**2 - i*r + 0.659621512600001*i
