time,true_X,true_Y
0.0,10.0,5.0
0.20134228187919462,11.10977417176076,4.570352312027106
0.40268456375838924,12.432175574320281,4.281109417743341
0.6040268456375839,13.974135450955847,4.127464742586954
0.8053691275167785,15.734070485795796,4.1138891455728945
1.006711409395973,17.69327650629322,4.257010861433598
1.2080536912751678,19.802764155200038,4.5898273523960595
1.4093959731543624,21.96408961231252,5.167203172438751
1.610738255033557,24.004649714498523,6.07078083578466
1.8120805369127515,25.654881657596974,7.4063523049395315
2.013422818791946,26.55147252724298,9.276572653395592
2.2147651006711406,26.313556966544205,11.703032912608604
2.4161073825503356,24.728792611438095,14.496979747178663
2.61744966442953,21.970799045129965,17.17813102038402
2.8187919463087248,18.614531520912703,19.117485103031882
3.0201342281879193,15.34142425663993,19.88183568650191
3.221476510067114,12.60503187974861,19.45355127621376
3.4228187919463084,10.54714000440156,18.137149526934486
3.624161073825503,9.113077051394464,16.328616477739065
3.8255033557046976,8.18312641799295,14.357689474953826
4.026845637583892,7.643413428276549,12.441359996290066
4.228187919463087,7.408193867806624,10.698294387506849
4.429530201342281,7.420238494370459,9.179479674313557
4.630872483221476,7.644967921193541,7.895419526856049
4.832214765100671,8.064361922765386,6.835288054937193
5.033557046979865,8.672152811615343,5.979027580217544
5.23489932885906,9.470233334530883,5.3045338782306395
5.4362416107382545,10.465787465305766,4.791806651541119
5.6375838926174495,11.66856721843469,4.425428262223671
5.838926174496644,13.087682111041826,4.196323823493764
6.040268456375839,14.727129742300264,4.103508217351589
6.241610738255033,16.57903931816914,4.156409303497649
6.442953020134228,18.61325122190335,4.378295695617003
6.644295302013423,20.761625160746092,4.811125346703304
6.845637583892617,22.896117685701967,5.521211879707916
7.046979865771812,24.803282640529268,6.602137523293672
7.248322147651006,26.16861573218437,8.164070345508632
7.449664429530201,26.60531648357794,10.287152250953207
7.651006711409395,25.77837246123375,12.916793380908441
7.85234899328859,23.625344600086315,15.735484880355482
8.053691275167784,20.51590696022623,18.162581236070775
8.25503355704698,17.120397485469056,19.611842461478208
8.456375838926174,14.04877079900874,19.826080678100336
8.657718120805368,11.610538314388375,18.956442861840415
8.859060402684563,9.841891394910897,17.37499138945737
9.060402684563758,8.646413298777253,15.460456808867013
9.261744966442953,7.901798134027911,13.493435754989438
9.463087248322147,7.505691744239398,11.643917882924416
9.664429530201343,7.385524188350367,9.996800863756631
9.865771812080537,7.494900488310177,8.582257014319827
10.06711409395973,7.8072571531529995,7.399448596768757
10.268456375838925,8.31028960410744,6.432310233930804
10.46979865771812,9.001730905044006,5.6592090762423695
10.671140939597315,9.88614832216852,5.058585748130563
10.872483221476509,10.97221215284512,4.612224429442347
11.073825503355703,12.269840554400242,4.307314156131025
11.275167785234899,13.786539130513798,4.138125422177462
11.476510067114093,15.522065184133064,4.107943090836528
11.677852348993287,17.460239693129516,4.231818936481308
11.879194630872483,19.556387692690514,4.540617471115469
12.080536912751677,21.718896452056082,5.0864076290768985
12.281879194630871,23.784967916092157,5.947655206319996
12.483221476510066,25.496795858820278,7.228089806838337
12.684563758389261,26.49980580561737,9.033501604585535
12.885906040268456,26.40776211715815,11.400706521532275
13.08724832214765,24.976927522676114,14.17161721590629
13.288590604026846,22.329925112188807,16.897482540899713
13.48993288590604,19.006010320285608,18.950430897636537
13.691275167785234,15.69426210723757,19.85816291346972
13.892617449664428,12.884065287583518,19.55491852144806
14.093959731543624,10.748974689266907,18.319912296921675
14.295302013422818,9.249250893888462,16.548974499876447
14.496644295302012,8.267830293674688,14.583514508745546
14.697986577181208,7.688391469095439,12.653340745215909
14.899328859060402,7.421726499869746,10.886865759237583
15.100671140939596,7.407602296777045,9.341301400904321
15.30201342281879,7.6091756175315775,8.030660523297382
15.503355704697986,8.006801615759448,6.945830675380593
