rank,reward,equations,equations_with_constants
1,0.8573188916291575,B0*i*s ; B1 + B2*i,0.398893719416969*i*s ; 0.0996249028364373*i - 9.54814190843104e-5
2,0.8572399125444705,B0*i*s ; B1*i,0.40015093088918*i*s ; 0.0992676555161263*i
3,0.8402769613878766,B0 + B1*i*s ; B2 + B3*i,0.399834165910087*i*s - 0.000374956396974253 ; 0.100684386538523*i - 0.000436719815951557
4,0.8402469695874617,B0 + B1*i*s ; B2*i,0.398763765099719*i*s + 9.57971172475396e-5 ; 0.0993235113004503*i
5,0.8353573804677393,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.41118847372336*i*s ; 0.0732141606984703*sqrt(Abs(i)) - 0.0102267218201555
6,0.8316602385085206,B0*i*s ; B1 + B3*sqrt(Abs(B2 + i)),0.398793203434702*i*s ; 1.91280411407142 - 0.61448168416366*sqrt(Abs(i - 9.69066324235803))
7,0.825255784184547,B0*i + B1*i*s ; B2 + B3*i,0.363151883368715*i*s + 0.0345912615076699*i ; 0.110998073561832*i - 0.000498356267015609
8,0.8251600175167189,B0*i + B1*i*s ; B2*i + B3*r,0.376245434709231*i*s + 0.0288921076857706*i ; 0.108438537747652*i - 0.000475263832390006*r
9,0.824909310707949,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.392880982061934*i*s - 0.00385072895372367*s ; 0.110626145131016*i + 0.00369973702492052*r - 0.00412262957633786
10,0.8242138406863803,B0*s + B1*i*s ; B2*i + B3*i*r,0.389892550089093*i*s + 0.000173533841938593*s ; 0.0112827416307235*i*r + 0.0943641698613749*i
11,0.824180804043821,B0*i*s ; B1*i + B2*i*r,0.393759493439799*i*s ; 0.0095544227544573*i*r + 0.0952437310957627*i
12,0.8241279447513664,B0*i + B1*i*s ; B2*i,0.385411307202815*i*s + 0.0164260356009636*i ; 0.103773354762333*i
13,0.8240876223644255,B0*s + B1*i*s ; B2 + B3*i,0.407154674296054*i*s - 0.000696079384254301*s ; 0.10108003937342*i - 0.000305889633493596
14,0.8239925913996728,B0*s + B1*i*s ; B2*i + B3*r**2,0.407672286201537*i*s - 0.000418038490931615*s ; 0.100076262897007*i - 0.000270950601752087*r**2
15,0.8239594122652377,B0*s + B1*i*s ; B2*i + B3*r,0.407754099688206*i*s - 0.000417403993935676*s ; 0.100204256830446*i - 0.000249391428495982*r
16,0.8238873157911828,B0*s + B1*i*s ; B2*Abs(i)**(1/4) + B3*i,0.406620930917522*i*s - 0.000620845379933081*s ; 0.101578809452105*i - 0.000650103203540128*Abs(i)**(1/4)
17,0.8237633994922635,B0*i*s ; B1 + B2*i + B3*r,0.406078103877852*i*s ; 0.0992371809559201*i - 0.000510028098749176*r + 0.000301770941819636
18,0.8236948059616396,B0*s + B1*i*s ; B2*i + B3*Abs(i)**(3/2),0.404102566025977*i*s - 0.000144091706109806*s ; 0.103109390552391*i - 0.00671478458316059*Abs(i)**(3/2)
19,0.8236242998242507,B0*s + B1*i*s ; B2*i,0.404835355457942*i*s - 0.000293222985665353*s ; 0.0995478314857843*i
20,0.8229001154397774,B0*s + B1*s**2 ; B3*i*sqrt(Abs(B2 - i)),-0.276229740736181*s**2 + 0.27861135887781*s ; 0.12689218364958*i*sqrt(Abs(i + 0.371428054642474))
21,0.8210982153296356,B0*i ; i*sqrt(Abs(B1 - r)),-1.14671428011631*i ; i*sqrt(Abs(r - 3.18086122285779))
22,0.8208347936388214,B0*s + B1*s**2 ; B2*i + B3*Abs(r)**(3/2),-0.268127809701984*s**2 + 0.27165626204247*s ; 0.105038991726687*i - 0.000967315814249437*Abs(r)**(3/2)
23,0.8205574675819681,B0*s + B1*s**2 ; B2 + B3*i,-0.26767521498477*s**2 + 0.271017029896082*s ; 0.107812569468371*i - 0.000992855959682437
24,0.8178358596335352,B0 + B1*i*s ; B2*i + B3*i*sqrt(Abs(r)),0.361531022152215*i*s + 0.000775017618688379 ; 0.0392837105358037*i*sqrt(Abs(r)) + 0.0758182148735631*i
25,0.8173034029057542,B0 + B1*i*s ; B3*i*sqrt(Abs(B2 - i + r)),0.381773942680402*i*s + 0.000752099548061519 ; 0.0581576927321837*i*sqrt(Abs(-i + r + 2.83977777546782))
26,0.8170262868029627,B0*i + B1*i*s ; B2 + B3*i + B4*sqrt(Abs(r)),0.366473810810101*i*s + 0.0335223240025378*i ; 0.110576369080638*i - 0.000174988138668447*sqrt(Abs(r)) - 0.000343923497998069
27,0.815894588237053,B0*i + B1*i*s ; B3*i*sqrt(Abs(B2 - i + r)),0.387590253812424*i*s + 0.0132420711578859*i ; 0.01667582344623*i*sqrt(Abs(-i + r + 37.9376441497018))
