node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0', 'M0*M1'))",0.8239594122652377,0.039162873779504205,0.016347561076556695,103,1.1750764180331081,9.24624825618535,0.013471202314542385,0.09643599215114912,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.7237549994712889,0.0718156135989705,0.029369135388633498,44,1.2732731536914148,9.4481895856328,0.02663303081404128,0.18750187222323073,False,False,14,2
"('INTERNAL', ('M0 - M1', 'M0'))",0.3922526646206784,0.028879588502625418,0.008861667161202503,17,0.48843716263149006,9.626833826800116,0.0059480818270990395,0.2308262505322599,False,False,14,1
"('INTERNAL', ('M0', 'M0 - M1'))",0.3513025511418908,0.0238129239076165,0.007150550822809517,17,0.7336539191678328,9.649625442834774,0.004920461685233365,0.22326603981766785,False,False,14,1
"('INTERNAL', ('M0 + M1', 'M0*M1'))",0.49737355614664686,0.05684839877390867,0.02408328159351898,10,0.6748413436990897,9.635569237282747,0.011469139382515045,0.3615630508235706,False,False,14,2
"('INTERNAL', ('B0*M0', 'M0*M1'))",0.6268866410409182,0.1804396050610273,0.053005687955731254,9,1.2873309732922702,9.752621767337999,0.049350309398002126,0.5163669298928545,False,False,14,3
"('INTERNAL', ('M0', 'M0*M2 - M1*M2'))",0.5126768725256374,0.08742026186872194,0.03343288192287622,9,0.6530268142210387,9.757977474063814,0.004210744514489474,0.4592581264399005,False,False,14,1
"('INTERNAL', ('M0', 'M0 + M1'))",0.04974135190699247,0.008562689306303323,0.0002603950198496011,9,0.5410776111096977,9.751886116991583,0.003424141608731476,0.32054712133616114,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0'))",0.023917888857278486,0.004681140189671757,6.059188961639805e-05,9,1.1750764180331081,9.751886116991583,0.002999192677086876,0.31513044985220545,False,False,14,1
"('INTERNAL', ('M0', 'sqrt(Abs(M0))'))",0.020857632975540948,0.002317514775060105,4.833787259359701e-05,9,0.5416690859912681,9.751886116991583,0.0027558536841441527,0.31179530131949795,False,False,14,1
"('INTERNAL', ('sqrt(Abs(M0))', 'M0'))",0.004199100092661077,0.00046656685217055815,1.9591599925362074e-06,9,0.21414326916401605,9.751914307463839,0.0025734346226039717,0.309163390444318,False,False,14,1
"('INTERNAL', ('M0 + M1', 'M0'))",0.0010580632915256813,0.000186656513128877,1.49077950157158e-07,9,0.6214435290268653,9.751886116991583,0.002546469476841786,0.3087638029836912,False,False,14,1
"('INTERNAL', ('M0*M1*M2', 'M0*M1'))",0.6511761704176479,0.14963824146425697,0.06861988006688764,8,1.374846182660572,9.757798902913025,0.035911589296900054,0.5073581562112659,False,False,14,2
"('INTERNAL', ('M0', 'M0*M2 + M1*M2'))",0.4409824313707818,0.06977520295311969,0.027072752223095315,7,0.7612764447558477,9.751886116991583,0.01350317549997334,0.4519198075196781,False,False,14,1
"('INTERNAL', ('M0', 'M1*sqrt(Abs(M0))'))",0.27137091871723695,0.045033544825902105,0.010068884130334561,7,1.1260127160451896,9.752629188376194,0.008971843443613821,0.4242343707291894,False,False,14,1
"('INTERNAL', ('s', 'M0'))",0.045898710692389356,0.007124686406184368,0.00029452616213976763,7,0.06411207038431704,9.619755533570093,0.0038643333470971004,0.37854586308809873,False,False,7,1
"('INTERNAL', ('M0', 'B0*M0'))",0.02508319566663159,0.004424586787163026,8.462849585306772e-05,7,1.2441739631994262,9.672237009147343,0.0035877777856579726,0.3751091340885978,False,False,14,3
"('INTERNAL', ('M0', 'M0*r'))",0.024101608952252867,0.004466492961614725,7.795326705330092e-05,7,0.0644344625338942,9.758001792821434,0.0035919810716774515,0.37516268429700134,False,False,14,1
"('INTERNAL', ('M0', 'i'))",0.006931863686801366,0.0017693102925461113,6.138737866831889e-06,7,0.0373028547075643,9.620794588062749,0.003327155812450709,0.37170220755132954,False,False,7,1
"('INTERNAL', ('M0', 'r'))",0.004080478924758645,0.0009828108395272684,2.9540653011766864e-06,7,0.06743427411228173,9.618686170984263,0.0032521139760328974,0.3706877628887385,False,False,7,1
"('INTERNAL', ('B0*M0', 'B1*i'))",0.8087794121803674,0.32762599977392054,0.09000001874996373,6,1.3406856846199515,9.846871646600723,0.09645765802464443,0.7055381759331119,False,False,7,4
"('INTERNAL', ('M0*M1', 'M0*M1*M2'))",0.6280683982257032,0.10965288547893788,0.06457824534299358,6,0.7290195356447731,9.75833669202143,0.02159308778976896,0.5265657247070277,False,False,14,2
"('INTERNAL', ('M0*M1', 'M0*i'))",0.5273277762678945,0.17922811374905429,0.045145226716181215,6,1.2653381601886449,9.752677807394969,0.04048582571231148,0.5896260193147242,False,False,14,2
"('INTERNAL', ('M0 - M1', 'M0*M1'))",0.07229070678109248,0.020868312215693356,0.000736065225164701,6,0.5362487086425458,9.63077892423611,0.005813324853198815,0.4341118002412307,False,False,14,2
"('INTERNAL', ('i', 'M0'))",0.012171321121216105,0.0026656240442230997,2.287227815145734e-05,6,0.06229225062820607,9.617598226178716,0.003858930512189384,0.4128213086997681,False,False,7,2
"('INTERNAL', ('B0', 'M0'))",0.0,0.0,0.0,6,0.0,0.0,0.0036102968619005863,0.4096163972250034,True,True,0,4
"('INTERNAL', ('M0', 'B0'))",0.0,0.0,0.0,6,0.0,0.0,0.0036102968619005863,0.4096163972250034,True,True,0,4
"('INTERNAL', ('sqrt(Abs(M0))', 'M0*M1'))",0.0,0.0,0.0,6,0.0481850664897793,9.751886116991583,0.0036102968619005863,0.4096163972250034,False,False,14,2
"('INTERNAL', ('B0*M0*M1', 'B1*i'))",0.8572399125444705,0.4622660258884199,0.09427381168658784,5,1.415114290643389,9.878779099766087,0.14758594435877304,0.8129376541142576,False,False,7,3
"('INTERNAL', ('M0*M1*i', 'B0*M0'))",0.636210301945843,0.1419582996222409,0.07645233100795791,5,0.79449214668978,9.844747346717316,0.027800880829276932,0.5944897186942243,False,False,14,3
"('INTERNAL', ('M1*sqrt(Abs(M0))', 'M0*M1'))",0.49456101454203566,0.11146325493074513,0.045936868769368894,5,1.2198050542848953,9.752348777450393,0.020953545171806594,0.5682550003435587,False,False,14,1
"('INTERNAL', ('M0*M2 - M1*M2', 'M0*M1'))",0.18467224986491607,0.05022771769985047,0.00641770768373064,5,0.5131917989235782,9.788067823004049,0.010084662360072917,0.5113353445322286,False,False,14,1
"('INTERNAL', ('B0*M0*M1', 'M0*M1'))",0.1787353784025985,0.07749908708765404,0.006851979936843493,5,0.0,9.900000000000002,0.014435001642372396,0.5374535521344352,False,False,0,5
"('INTERNAL', ('B0 + M0', 'M0'))",0.1376392550451601,0.035191639031829536,0.0033686098252161127,5,0.5839528448432413,9.757962768488058,0.008033114074163343,0.49633269231626115,False,False,14,3
"('INTERNAL', ('M0*M1', 'B0*M0'))",0.09468420867823453,0.025236216489545868,0.0015933387797692363,5,1.374846182660572,9.757411401751062,0.006812398804911425,0.48613868105950564,False,False,14,3
"('INTERNAL', ('s', 'B0*M0 + B1*M1'))",0.045898710692389356,0.01584644605688075,0.0002823692556333678,5,0.06651494926460433,9.756055353534075,0.005761921262787524,0.4763190757117157,False,False,7,3
"('INTERNAL', ('B0 - i**2 + Abs(i)**(3/2)', '-M0*i'))",0.015885973948418612,0.0031771947896837224,5.0472833657966966e-05,5,0.02196966023343521,9.751886116991583,0.0044995403448959735,0.4627307374056417,False,False,3,1
