rank,reward,equations,equations_with_constants
4186,0.024832652935689512,-s**2 + s*sqrt(Abs(i**3 + i*s)) ; B0 + i - r,-s**2 + s*sqrt(Abs(i**3 + i*s)) ; i - r + 0.623908683677364
4187,0.024828268100621005,Abs(s)**(3/2) ; B0 + B1*r,Abs(s)**(3/2) ; 0.797772278269818 - 0.921513697097786*r
4188,0.02474612050742466,i**2*s - i**2 + i*s ; B0 + B1*i + i*sqrt(Abs(i + r)),i**2*s - i**2 + i*s ; i*sqrt(Abs(i + r)) + 1.71620293215872*i - 0.296216781247095
4189,0.02474325402301872,B0 + i + s ; B1*i + B2*i**2 - i**3 + i**2*r,i + s - 0.769652094872045 ; -i**3 + i**2*r - 4.43107171403734*i**2 + 4.41967264298906*i
4190,0.02473757114609449,i**2*s - 2*i*s**2 + s**3 ; B0*i + B0*sqrt(Abs(i + r)),i**2*s - 2*i*s**2 + s**3 ; 0.0128151196142617*i + 0.0128151196142617*sqrt(Abs(i + r))
4191,0.02470395834754692,s**3*sqrt(Abs(i)) ; B0 + i**2,s**3*sqrt(Abs(i)) ; i**2 - 0.00700979868017118
4192,0.024634473962399296,s ; B0*i - 2*i*r,s ; -2*i*r + 1.76667786880443*i
4193,0.024630579549739826,B0*s*Abs(i)**(1/4) ; i*Abs(B1 + i)**(1/4),0.0799739384341675*s*Abs(i)**(1/4) ; i*Abs(i - 0.0773178961205775)**(1/4)
4194,0.02461349455853603,B0*i - i**2 + 2*i*s ; i**2,-i**2 + 2*i*s - 1.12822617301141*i ; i**2
4195,0.024610092916631462,B0*s ; Abs(i)**(3/2),0.054093547105615*s ; Abs(i)**(3/2)
4196,0.024585795795180384,B0 + B1*i + B2*sqrt(Abs(s)) ; B3*i + B4*i**2 + B5*r + B6*i*r,7.41699882336914*i + 2.16219425336483*sqrt(Abs(s)) - 1.92985722381075 ; 3.1465196663853*i**2 - 0.186667943450216*i*r + 4.98377812046056*i - 0.983214128464425*r
4197,0.02455420353232221,B0 + s ; B1*r + B2*i*r - i**2*r + i*r**3,s - 0.876236079766304 ; -i**2*r + i*r**3 + 0.0399691644793248*i*r + 89.0538446553906*r
4198,0.02453352955870385,B0*s + B1*Abs(s)**(3/2) ; B2*i - i**2 + i*r,-0.131701085958648*s + 0.193403909363037*Abs(s)**(3/2) ; -i**2 + i*r + 0.189506450898592*i
4199,0.024512142654275575,B0 + i**2 + i*s ; B1 - 2*r + sqrt(Abs(r)),i**2 + i*s + 0.205670049870423 ; -2*r + sqrt(Abs(r)) + 3.69176444083177
4200,0.024511248710207253,B0*s + i*s ; B1*r**2 + i*r**3 + i*r**2,i*s + 2.08072635242571*s ; i*r**3 + i*r**2 + 0.00262093983577029*r**2
4201,0.02450742447682651,B0*s + i*s - 2*s**2 ; B1 - r,i*s - 2*s**2 + 2.51969874791395*s ; 0.759933166480871 - r
4202,0.024396805019988536,B0*i*s - i**2*s + i*s**2 + s ; B1 + i**2 - r + sqrt(Abs(i)),-i**2*s + i*s**2 + 1.06365681202961*i*s + s ; i**2 - r + sqrt(Abs(i)) + 0.482144974829701
4203,0.024379135693656396,B0 + Abs(s)**(1/8) ; B1*r,Abs(s)**(1/8) - 0.983143847820033 ; 13.2844071825496*r
4204,0.024352035119691355,B0*i + i**2 ; B1 + B3*sqrt(Abs(B2 - r)),i**2 - 0.193609531094403*i ; 0.934976741606012 - 0.889968223347345*sqrt(Abs(r + 1.30685003731302))
4205,0.024335592641428774,B0*s + i**2 + i*s ; B1*i + B2*i*r - r,i**2 + i*s + 0.756541434281355*s ; -0.196522180057126*i*r + 2.61370466382621*i - r
4206,0.02428055604833582,B0 + B1*i*s + i**2 + i*s**2 ; 2*i**2,i**2 + i*s**2 - 0.541443823202884*i*s + 0.0061526709659731 ; 2*i**2
4207,0.024258272977334537,B0 - i + 2*s ; B1 + sqrt(Abs(i)),-i + 2*s + 63.8099492824275 ; sqrt(Abs(i)) - 5.16802851057034
4208,0.02421312902889789,sqrt(Abs(B0 + B1*sqrt(Abs(i)) - i)) ; i,sqrt(Abs(-i + 0.135757175130935*sqrt(Abs(i)) + 0.0981458940673189)) ; i
4209,0.024212529500775837,B0*i + i**2*s**2 - i**2 ; B1*i,i**2*s**2 - i**2 + 0.240646801316948*i ; 0.0991529458609944*i
4210,0.02418009919539493,B0*sqrt(Abs(i)) ; i**2,0.0519173988544511*sqrt(Abs(i)) ; i**2
4211,0.024119421765573166,B0*i + i**3 ; B1*i,i**3 + 2.08122640045024*i ; 4.98177452932602*i
4212,0.024027554431884902,s ; B0*i + B1*i**3 + i**3*r,s ; i**3*r + 6.35491453434578*i**3 - 0.0964238393873123*i
4213,0.023878199494619428,B0*i - i*s + Abs(i)**(3/2) ; B1 + B2*i,-i*s + 0.549301808512883*i + Abs(i)**(3/2) ; -0.0545926644552086*i - 0.0285597280317254
4214,0.023858820959827078,B0*i - i**2*s + i*Abs(s)**(3/2) ; r*sqrt(Abs(3*i - r)),-i**2*s + i*Abs(s)**(3/2) - 0.686937682122476*i ; r*sqrt(Abs(3*i - r))
4215,0.023719318280658815,B0 + B1*i ; B2 + sqrt(Abs(B3 + sqrt(2)*sqrt(Abs(i))*sqrt(Abs(r)))),8.14016036772128 - 0.96452128797561*i ; sqrt(sqrt(2)*sqrt(Abs(i))*sqrt(Abs(r)) + 21.5312772244383) + 2.93118562400602
4216,0.023674928046477903,B0*i + i**2*sqrt(Abs(s)) ; B1*i**2 + B2*i**3,i**2*sqrt(Abs(s)) + 0.186525430702174*i ; 0.0691198872962772*i**3 + 2.4267839982373*i**2
4217,0.023618957981250372,sqrt(2)*i**2 ; B0*i + i*Abs(i**2 + r)**(1/4),sqrt(2)*i**2 ; i*Abs(i**2 + r)**(1/4) - 0.294495623448641*i
4218,0.023605156475802334,B0*s + sqrt(Abs(i))*Abs(s)**(5/4) ; B1*i + B1*sqrt(Abs(i)) + B2*r,0.00355749355416493*s + sqrt(Abs(i))*Abs(s)**(5/4) ; 1.11062450759539*i - 0.561552861035131*r + 1.11062450759539*sqrt(Abs(i))
4219,0.0235191365543265,sqrt(Abs(i))*Abs(s)**(3/2) ; B0*r + i,sqrt(Abs(i))*Abs(s)**(3/2) ; i - 0.14084071823277*r
4220,0.023472735523143762,i**2*s + s ; B0 - sqrt(Abs(r)),i**2*s + s ; 0.937771600580704 - sqrt(Abs(r))
4221,0.02347079113471297,B0 + B1*i - i**2 ; -r + sqrt(Abs(r + sqrt(Abs(B2 + B3*r)))),-i**2 - 2.47734568687195*i + 0.337624887179684 ; -r + sqrt(Abs(r + sqrt(Abs(9.17374694377648*r + 0.909352468395179))))
4222,0.023463143364974598,s ; B0*i**3 - i**3*r,s ; -i**3*r + 3.21965622616295*i**3
4223,0.023426284323060625,B0 + B1*s + i - s**2 ; -r + sqrt(Abs(r + sqrt(Abs(B2*i + B2*r)))),i - s**2 + 0.995762577479737*s + 0.0758347725603392 ; -r + sqrt(Abs(r + sqrt(Abs(0.00234038682342316*i + 0.00234038682342316*r))))
4224,0.023368641477325473,i*s + s**2 ; B0*r + i**2*r + 2*i,i*s + s**2 ; i**2*r + 2*i - 0.296064761351284*r
4225,0.0233605648817196,-i*s + s*sqrt(Abs(i)) ; B0 + B1*sqrt(Abs(r + sqrt(2)*sqrt(Abs(i)))),-i*s + s*sqrt(Abs(i)) ; 0.180603598489238 - 0.138741043442522*sqrt(Abs(r + sqrt(2)*sqrt(Abs(i))))
4226,0.023323552059223245,-i**2*s + s*Abs(i)**(5/4) ; B0*sqrt(Abs(i)),-i**2*s + s*Abs(i)**(5/4) ; 0.0352415689124632*sqrt(Abs(i))
4227,0.023300810876058235,B0 - s + sqrt(Abs(i - s)) ; r,-s + sqrt(Abs(i - s)) + 0.0116545468531411 ; r
4228,0.023266063364044413,B0*sqrt(Abs(s)) ; B1*i**2 + B1*r,0.00587560822279442*sqrt(Abs(s)) ; 0.0491989255168824*i**2 + 0.0491989255168824*r
4229,0.023226526972520714,B0*i - 2*i**2 ; B1*r,-2*i**2 + 0.276845168425986*i ; 0.00211304041624898*r
4230,0.02322652696393225,B0*i - 2*i**2 ; B1*sqrt(Abs(i))*sqrt(Abs(r)),-2*i**2 + 0.276847626915185*i ; 0.0395989966693739*sqrt(Abs(i))*sqrt(Abs(r))
4231,0.023226526675290057,B0*i - i**2 + i*s ; B1*r + B2*Abs(r)**(3/2),-i**2 + i*s - 0.723138734650164*i ; 1.33128938004541*r + 4.17403720121134*Abs(r)**(3/2)
4232,0.023212038511435374,i*s + i*Abs(s)**(3/2) ; B0 + 2*i,i*s + i*Abs(s)**(3/2) ; 2*i - 0.226593082921011
4233,0.023196404495388852,B0*s + s*sqrt(Abs(i)) ; B3*sqrt(Abs(B1*i*r + B2*r)),s*sqrt(Abs(i)) + 1.97272744005232*s ; 85.3951069201262*sqrt(Abs(0.000205538454698618*i*r + 4.64691138708738*r))
4234,0.02315311840859061,i**2*s**2 - i*s + s**2 ; B0*i,i**2*s**2 - i*s + s**2 ; 0.078054789575968*i
4235,0.023144714797281057,B0*s*sqrt(Abs(i)) + i*s ; B1*sqrt(Abs(i)),i*s - 0.0797120716498544*s*sqrt(Abs(i)) ; 0.0392870692734564*sqrt(Abs(i))
4236,0.023128658927140444,B0 + B1*Abs(i)**(3/2) + B2*i**2 ; -i*r + i,-1.012091736661*i**2 - 3.44771039014225*Abs(i)**(3/2) + 0.189454777136278 ; -i*r + i
4237,0.023100277942826396,sqrt(Abs(B0*i*s - i**2*s)) ; B1 + B2*i + B3*sqrt(Abs(r)),sqrt(Abs(i**2*s - 0.110595663553394*i*s)) ; 2.39802046066704*i - 0.114290912313431*sqrt(Abs(r)) - 0.161408122638277
4238,0.023014621916813884,B0*s*sqrt(Abs(i)) + s**2 ; r*sqrt(Abs(B1*r + B2*i)),s**2 - 2.17309745829436*s*sqrt(Abs(i)) ; r*sqrt(Abs(0.0314184196494805*i + 2.68702268481648*r))
