rank,reward,equations,equations_with_constants
1,0.9151671035224178,B0*i*s ; B1 + B2*i,0.39965945890062*i*s ; 0.100006434040671*i - 4.22044577775615e-5
2,0.915151117806541,B0*i*s ; B1*i,0.400168064391888*i*s ; 0.0998451613532671*i
3,0.8969802197787955,B0 + B1*i*s ; B2*i + B3*r,0.401858114327815*i*s - 8.27568463198504e-5 ; 0.10011276685225*i - 0.000149084097616751*r
4,0.8969709925610382,B0*i*s ; B1*i + B2*r,0.400433311564169*i*s ; 0.0999967174193291*i - 6.97676473959541e-5*r
5,0.8969536261663268,B0 + B1*i*s ; B2*i,0.399576960214154*i*s + 4.38247717168465e-5 ; 0.0998751825425019*i
6,0.8880013330685981,B0*i*s ; B1*i + B2*sqrt(Abs(r)),0.400365849896822*i*s ; 0.100040393206941*i - 6.9152709562956e-5*sqrt(Abs(r))
7,0.8879845865724753,B0*i*s ; B2*i*sqrt(Abs(B1 - r)),0.398937847757765*i*s ; 0.0188779535054672*i*sqrt(Abs(r + 27.5363371879479))
8,0.882460532933649,B0*i*s ; B1*i*sqrt(Abs(i + r)),0.31891697341502*i*s ; 0.121764101580621*i*sqrt(Abs(i + r))
9,0.8796441301054627,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.411855986138267*i*s ; 0.0739537590679821*sqrt(Abs(i)) - 0.0104474960921578
10,0.8791543953277332,B0*s + B1*i*s ; B2 + B3*i,0.402144110875491*i*s - 0.000215742379564358*s ; 0.100417025569463*i - 0.000100714853794475
11,0.8791472218051732,B0*s + B1*i*s ; B2*i + B3*sqrt(Abs(r)),0.402364218480033*i*s - 0.000130602626505624*s ; 0.100212656178466*i - 9.00663381412075e-5*sqrt(Abs(r))
12,0.8791463117069164,B0*s + B1*i*s ; B2*i + B3*r,0.40240821610474*i*s - 0.00012790368263367*s ; 0.100150985857197*i - 8.97067564277537e-5*r
13,0.8791337667535398,B0*i*s ; B1 + B2*i + B3*r,0.402174868847869*i*s ; 0.0998415890961179*i - 0.000186096371581424*r + 0.00010683871933622
14,0.8791209531741456,B0 + B1*i*s ; B2*i + B3*Abs(i)**(3/2),0.399652095680763*i*s + 0.000107478295249673 ; 0.102115835218893*i - 0.00400287650606937*Abs(i)**(3/2)
15,0.8791206082421843,B0*i + B1*i*s ; B2*i + B3*i*r,0.402211769981632*i*s - 0.00510881004797691*i ; 0.00386924980129775*i*r + 0.0968600359440432*i
16,0.8791068619208983,B0*s + B1*i*s ; B2*i + B3*i*r,0.399779501640881*i*s - 2.55667140483573e-5*s ; 0.00111298112958802*i*r + 0.0993903393983028*i
17,0.87910630256764,B0*i*s ; B1*i + B2*i*r,0.399244865364639*i*s ; 0.00134021342858896*i*r + 0.0992710665558526*i
18,0.8791001478067623,B0*s + B1*i*s ; B2*i,0.401295103522311*i*s - 7.60377723325861e-5*s ; 0.0999109423271082*i
19,0.8790937494464673,B0*i + B1*i*s ; B2*i,0.399159485055081*i*s + 0.00110550700626256*i ; 0.100140548734378*i
20,0.8790905330665773,B0*i*s ; B1*i + B2*i**2,0.400149164966302*i*s ; 9.56136889556305e-5*i**2 + 0.0998154653844573*i
21,0.879090455972469,B0*i*s ; B2*i*Abs(B1 + i)**(1/4),0.400113403115087*i*s ; 0.0324249556850036*i*Abs(i + 89.5953255351177)**(1/4)
22,0.8762296313640164,B0*i*s ; B1 + B3*sqrt(Abs(B2 + sqrt(Abs(i)))),0.406397775229623*i*s ; 0.0495121051931694 - 0.0671161722395816*sqrt(Abs(sqrt(Abs(i)) - 0.6469132237889))
23,0.8752231195019815,B0*s + B1*i*s ; B2*i*sqrt(Abs(i + r)),0.306189483749611*i*s + 0.00100549156295858*s ; 0.120782079821499*i*sqrt(Abs(i + r))
24,0.8743080307954442,B0*i + B1*i*s ; B2*i + B2*Abs(i)**(3/2),0.328794333886471*i*s + 0.0632611678776992*i ; 0.0770080193768702*i + 0.0770080193768702*Abs(i)**(3/2)
25,0.8722291211225224,B0*i*Abs(s)**(3/2) ; B1*i + B2*i*r,0.385754887644693*i*Abs(s)**(3/2) ; 0.0704562281557683*i*r + 0.0627940867262517*i
26,0.8716689494028793,B0 + B1*i*s ; B2*sqrt(Abs(i)),0.390579931584044*i*s + 0.00851553757784909 ; 0.0562671853957371*sqrt(Abs(i))
27,0.8704970448981757,B0*i ; i*sqrt(Abs(B1 - r)),-1.15185979910838*i ; i*sqrt(Abs(r - 3.16151522677709))
28,0.870340797659899,B0 + B1*i*s ; B2*i + B4*sqrt(Abs(B3 + i)),0.39968645480862*i*s + 0.000175649260803676 ; 0.0978007411379583*i + 0.00115276335835963*sqrt(Abs(i - 0.00427395983562067))
29,0.8703153263868265,B0*i*s ; B3*i*sqrt(Abs(B1 + B2*r)),0.39923714383224*i*s ; 0.0159089644836882*i*sqrt(Abs(1.06510761375375*r + 38.932619830088))
30,0.8703148061550933,B0*i*s ; B1*i + B3*sqrt(Abs(B2 + i)),0.399659962210912*i*s ; 0.100012362853325*i - 2.30806957762665e-5*sqrt(Abs(i + 3.2702580103917))
31,0.8703072479275215,B0*i*s ; B2*i*sqrt(Abs(B1*r + i)),0.328711874411113*i*s ; 0.136207105904069*i*sqrt(Abs(i + 0.599273062704324*r))
32,0.8703047197398907,i*s*sqrt(Abs(B0 + B1*i)) ; B2*i,i*s*sqrt(Abs(0.00340928344749745*i + 0.159649317209105)) ; 0.0998963294304695*i
33,0.8703043749554451,i*s*sqrt(Abs(B0 + B1*s)) ; B2*i,i*s*sqrt(Abs(0.00195716961726601*s - 0.161729922836708)) ; 0.099914588156985*i
34,0.8702886010633119,B0*i*s ; B2*i*sqrt(Abs(B1 + 2*i)),0.399718866626853*i*s ; 0.0151017573966783*i*sqrt(Abs(2*i + 43.089133042617))
35,0.8702812795698726,B1*i*s*sqrt(Abs(B0 + s)) ; B2*i,0.0484550456069291*i*s*sqrt(Abs(s + 67.3851981734984)) ; 0.0997612935940444*i
36,0.8696663708685386,B0*s + B1*s**2 ; B2 + B3*i + B4*r,-0.262372547249159*s**2 + 0.267928322495036*s ; 0.0946404760771442*i - 0.00476267727483083*r + 0.00426942642902661
37,0.8694822189149115,s**2*Abs(i)**(3/2) ; B0 + B1*i + B2*r,s**2*Abs(i)**(3/2) ; 0.100684443150791*i + 0.00830544019272399*r - 0.00666878532146549
38,0.8683626782983928,B0*s + B1*s**2 ; B2*i + B3*r,-0.260713877278782*s**2 + 0.265267627410284*s ; 0.10525254819536*i - 0.000781386035451264*r
39,0.8683150844861395,B0*s + B1*s**2 ; B2*i + B3*sqrt(Abs(r)),-0.260502815417461*s**2 + 0.265057149366*s ; 0.105755445804106*i - 0.000780667993559007*sqrt(Abs(r))
40,0.867829169706743,B0*s + B1*s**2 ; B2 + B3*i,-0.259857449413757*s**2 + 0.2642963425151*s ; 0.106948751951352*i - 0.00075369735036585
41,0.8678267270216453,B0*i*s*sqrt(Abs(i + s)) ; B1 + B2*i + B3*r,0.422477490683346*i*s*sqrt(Abs(i + s)) ; 0.0925307511854683*i - 0.00085040201927913*r + 0.00103475110520942
42,0.8661268469387408,B0*i + B1*i*sqrt(Abs(s)) ; B2*i + B3*i*r,0.666819747494764*i*sqrt(Abs(s)) - 0.310252325312166*i ; 0.0241702457070188*i*r + 0.0706095848438837*i
43,0.8655488565611399,B0*i*s ; B1*i*sqrt(Abs(r)) + B1*i,0.355836960384701*i*s ; 0.0628557131532685*i*sqrt(Abs(r)) + 0.0628557131532685*i
44,0.8654515334810753,B0*i + B1*i*sqrt(Abs(s)) ; B3*i*sqrt(Abs(B2 - i)),0.629943429843106*i*sqrt(Abs(s)) - 0.262745510685959*i ; 0.0135397117473955*i*sqrt(Abs(i - 38.5006130154942))
45,0.865400238265895,B0*i + B1*i*sqrt(Abs(s)) ; B3*i*sqrt(Abs(B2 - r)),0.627696188100912*i*sqrt(Abs(s)) - 0.260579436992972*i ; 0.00772004745071267*i*sqrt(Abs(r - 118.442173808963))
46,0.865246550799419,B0*s + B1*s**2 ; B2*i,-0.255041541325674*s**2 + 0.260114612088666*s ; 0.103202684969249*i
47,0.8643695890388721,B0*s + B1*i*s ; B2 + B3*i**2 + B3*i,0.40388336217065*i*s - 0.000572558271821093*s ; 0.0747331811875246*i**2 + 0.0747331811875246*i + 0.000717664815102065
48,0.8636228044899371,B0*s + B1*Abs(s)**(3/2) ; B2*i + B3*i*r,0.477209092140392*s - 0.470512749680792*Abs(s)**(3/2) ; -0.0544645056563367*i*r + 0.130322466759213*i
49,0.8635513045237079,i*s**2*sqrt(Abs(B0 - i)) ; B1*i + B2*i**2,i*s**2*sqrt(Abs(i + 0.132270891026063)) ; -0.0938333781245994*i**2 + 0.113143222778668*i
50,0.8617113852981917,B0*i*s ; B1 + B2*i + B3*i*r,0.394759338697034*i*s ; 0.00505687259140958*i*r + 0.0983048459870577*i - 0.000161175820762779
51,0.8616661950500483,B0 + B1*s + B2*i*s ; B3 + B4*i,0.402023124379958*i*s - 0.000264135434627009*s + 0.000259584725981749 ; 0.0997909922557795*i + 0.000120361232491851
52,0.8616658897982437,B0*i**2 + B1*i*s ; B2*i + B3*i*r,-0.014953356928818*i**2 + 0.395216961514154*i*s ; 0.0104886166992845*i*r + 0.0941989386218841*i
53,0.8616654364567014,B0*i**2 + B1*i*s ; B2*i + B3*r,0.00418270188775737*i**2 + 0.400052427009303*i*s ; 0.100470907943886*i - 0.00012678787316911*r
54,0.8616595490472136,B0*Abs(s)**(3/2) + B1*i*s ; B2 + B3*i,0.401990630744415*i*s - 0.000212136280149073*Abs(s)**(3/2) ; 0.100416515519682*i - 9.82715398505228e-5
55,0.8616524812598056,B0*s**2 + B1*i*s ; B2*i + B3*sqrt(Abs(r)),0.402190922734158*i*s - 0.000129861491934426*s**2 ; 0.100215208004962*i - 8.84141718513692e-5*sqrt(Abs(r))
56,0.8616516061417233,B0*s**2 + B1*i*s ; B2*i + B3*r,0.402238712561288*i*s - 0.000127306420029253*s**2 ; 0.100154668141194*i - 8.80910217433856e-5*r
57,0.8616402373878975,B0 + B1*i + B2*i*s ; B3*i,0.394705260813727*i*s + 0.00451480623600398*i + 0.00010063806106626 ; 0.101130769886559*i
58,0.8616369111160656,B0*i*s ; B1*i + B2*i*Abs(r)**(1/4),0.396826082535136*i*s ; 0.00588088240867935*i*Abs(r)**(1/4) + 0.095257139591511*i
59,0.8616213588346232,B0*i*s ; B1*i + B2*Abs(r)**(1/8),0.399927056135783*i*s ; 0.100060568666566*i - 5.99309598370773e-5*Abs(r)**(1/8)
60,0.861616217730765,B0*s**2 + B1*i*s ; B2*i + B3*sqrt(Abs(i))*sqrt(Abs(r)),0.402128906242818*i*s - 0.00011628696474257*s**2 ; 0.100296514947148*i - 0.000275588939935756*sqrt(Abs(i))*sqrt(Abs(r))
61,0.8616130973818629,B0*Abs(s)**(3/2) + B1*i*s ; B2*i + B3*i*r,0.399926164834257*i*s - 3.35976068438271e-5*Abs(s)**(3/2) ; 0.00104288254910027*i*r + 0.0994291754628515*i
62,0.861607339708205,B0*s**2 + B1*i*s ; B2*i,0.401266557698232*i*s - 8.06964969760841e-5*s**2 ; 0.0999199453637633*i
63,0.8616072192883871,B0*Abs(s)**(3/2) + B1*i*s ; B2*i,0.401308340698987*i*s - 8.02318130588033e-5*Abs(s)**(3/2) ; 0.099919146416898*i
64,0.8616000638495476,B0*i**2 + B1*i*s ; B2*i,0.00100911858249144*i**2 + 0.400023679574613*i*s ; 0.0999295175529962*i
65,0.8615989129020363,B0*Abs(i)**(3/2) + B1*i*s ; B2*i,0.399957499104519*i*s + 0.000639965314652535*Abs(i)**(3/2) ; 0.0999404001618408*i
66,0.861590328154714,B0*i*s ; B1*i*sqrt(Abs(B2 + i)) + B1*i,0.399826046517645*i*s ; 0.0169745301288908*i*sqrt(Abs(i + 23.514731070053)) + 0.0169745301288908*i
67,0.8605674033396703,B0*i*s ; B1*i**2 + B2*i*r,0.298126675984848*i*s ; 0.196718318858779*i**2 + 0.104707458730456*i*r
68,0.8601221615028626,B0*Abs(s)**(3/2) + B1*s**2 ; B2*i + B3*r,-0.658968908951919*s**2 + 0.659092603827279*Abs(s)**(3/2) ; 0.101298772824516*i + 7.36330321497154e-5*r
69,0.8599304329123864,B0*s + B1*s**3 ; B2*i + B3*i*r,-0.181308325270967*s**3 + 0.18028165325407*s ; -0.00264839697026733*i*r + 0.103989022599598*i
70,0.8591041874225461,B0*i*s**2 ; B1*i + B2*i*r,0.387254083726575*i*s**2 ; 0.118695440919202*i*r + 0.0434055773065301*i
71,0.8584180754621819,B0 + B1*s + B2*s**2 ; B3 + B4*i,-0.351967573614842*s**2 + 0.405363084938483*s - 0.0520601078480291 ; 0.0869525213480974*i - 3.40568103669602e-5
72,0.8578400824970293,B0*s + B1*i*s ; B2*i*Abs(i**2 + r)**(1/4),0.317999795926148*i*s + 0.000708940125446761*s ; 0.121746314852067*i*Abs(i**2 + r)**(1/4)
73,0.8568809866604762,B0*i + B1*i*s ; B2*sqrt(Abs(i)) + B3*r,0.671934887266101*i*s - 0.165052352713898*i ; -0.0048334681757217*r + 0.0406599509032481*sqrt(Abs(i))
74,0.8566266028996394,B0*Abs(s)**(3/2) + B1*i*s ; B2*sqrt(Abs(i)) + B3*Abs(i)**(3/2),0.399901494331329*i*s + 0.000266704879957032*Abs(s)**(3/2) ; 0.121912735879676*Abs(i)**(3/2) + 0.0173095918305974*sqrt(Abs(i))
75,0.8563714608431027,B0 + B1*sqrt(Abs(s)) + B2*s ; B3*i,-0.850273827687466*s + 1.25840828569655*sqrt(Abs(s)) - 0.403068042488499 ; 0.0784855421861837*i
