rank,reward,equations,equations_with_constants
1,0.9509900496992063,B0*i*s ; B1 + B2*i,0.400004738493469*i*s ; 0.100000872199342*i - 1.05679987265857e-7
2,0.9509900495929156,B0*i*s ; B1*i,0.40000614540208*i*s ; 0.100000472838232*i
3,0.9320653478709723,B0 + B1*i*s ; B2*i + B3*r,0.39999880913001*i*s + 4.11845575272459e-7 ; 0.0999999815189597*i + 3.38739662359099e-7*r
4,0.932065347825274,B0 + B1*i*s ; B2 + B3*i,0.400001272216597*i*s + 1.31321312246939e-6 ; 0.0999971722697201*i + 1.08027301365781e-6
5,0.9320653476309531,B0*i*s ; B1*i + B2*r,0.400006380294151*i*s ; 0.100000606141948*i - 6.13115890534101e-8*r
6,0.9161157235035488,B0 + B1*i*s ; B3*sqrt(Abs(B2 + i)),0.372531067084333*i*s + 0.0133042088029235 ; 0.0540371551387412*sqrt(Abs(i + 0.0357013788425889))
7,0.913517247469227,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.400001436356218*i*s + 7.11219302876854e-7*s ; 0.0999991262269142*i - 3.69594512459381e-7*r + 3.89331099695813e-7
8,0.9135172474630139,B0*s + B1*i*s ; B2 + B3*i,0.399999992633165*i*s + 3.93385232969462e-7*s ; 0.100000068405818*i + 7.65146139763596e-9
9,0.9135172474628126,B0*s + B1*i*s ; B2*i + B3*r,0.400000002608605*i*s + 3.85273093388269e-7*s ; 0.100000095335784*i + 4.47443812099947e-9*r
10,0.9135172474628006,B0*s + B1*i*s ; B2*i + B3*i**2,0.400000101147161*i*s + 3.76826383337319e-7*s ; 2.64573017691329e-7*i**2 + 0.100000031310625*i
11,0.9135172474626956,B0*s + B1*i*s ; B2*i,0.400000061943816*i*s + 3.82619318449512e-7*s ; 0.100000107597307*i
12,0.9135172474573465,B0*i + B1*i*s ; B2 + B3*i + B4*r,0.400004366011071*i*s - 4.50577368923824e-6*i ; 0.0999997634825508*i + 3.61236611875589e-7*r - 3.38262130301511e-7
13,0.9135172474487001,B0 + B1*i*s ; B2 + B3*i + B4*r,0.399998864195979*i*s + 5.13601446454342e-7 ; 0.0999996757819148*i + 3.16410626464562e-7*r + 1.09781080123769e-7
14,0.9135172474313973,B0*i + B1*i*s ; B2*i + B3*i*r,0.400038517738576*i*s - 5.19720696763671e-5*i ; 2.1592436847234e-5*i*r + 0.0999773448440815*i
15,0.9135172473696523,B0*i + B1*i*s ; B2*i + B3*r,0.400015639061286*i*s - 1.06442055219341e-5*i ; 0.0999975134307407*i + 5.48869406679716e-8*r
16,0.9135172473577539,B0*i + B1*i*s ; B2 + B3*i,0.400013491141564*i*s - 8.23968307439797e-6*i ; 0.0999983214649001*i - 1.24740839090553e-8
17,0.9135172473571029,B0*i + B1*i*s ; B2*i,0.400014202540187*i*s - 8.83785306358096e-6*i ; 0.0999981147239608*i
18,0.9135172473366924,B0 + B1*i*s ; B2*i + B3*i*r,0.400007111383*i*s + 5.91564553044458e-8 ; -2.63705550869461e-6*i*r + 0.100001639351754*i
