rank,reward,equations,equations_with_constants
1244,0.8805615506369957,B0 + B1*i*Abs(s)**(1/4) ; B2 + r*sqrt(Abs(i)),-0.000604432311567299*i*Abs(s)**(1/4) - 0.0103759516796672 ; r*sqrt(Abs(i)) + 1.72704211503529
1245,0.8805255702502414,B0*sqrt(Abs(i))*sqrt(Abs(s)) ; B1*i - r,0.00347848288431859*sqrt(Abs(i))*sqrt(Abs(s)) ; 150.235738033066*i - r
1246,0.880498761809638,B0*i + B1*s ; 2*i + r,-0.00969184463884461*i + 0.0512755748468395*s ; 2*i + r
1247,0.8804675143799666,B0*i + B1*Abs(s)**(3/2) ; i,0.898911278272506*i + 0.00886032321913819*Abs(s)**(3/2) ; i
1248,0.8803994227121977,B0 + B1*i ; B2 + B3*i**3,0.386991932951784*i + 0.0349292654423393 ; 64.3798712661205*i**3 + 0.0421674398856772
1249,0.8803948545671524,B0*s**2*sqrt(Abs(i + s)) ; B1 - i - sqrt(Abs(B2 + r)),0.0244848777913481*s**2*sqrt(Abs(i + s)) ; -i - sqrt(Abs(r + 5.06299530227162)) + 2.29464394146098
1250,0.8802925024678756,B0*i + B1*i*s ; B2 + r,-0.000761443418836003*i*s - 4.62147634694611e-5*i ; r + 0.108026444195621
1251,0.8802438586805097,sqrt(Abs(B0 + B1*sqrt(Abs(i)))) ; Abs(r)**(1/4),sqrt(Abs(0.0022303925491153*sqrt(Abs(i)) - 0.00239356485361981)) ; Abs(r)**(1/4)
1252,0.8802297484991956,B0 + B1*s - i ; i*sqrt(Abs(B2 + 2*r)),-i + 0.128571057408818*s + 0.0226033305818957 ; i*sqrt(Abs(2*r - 0.000371850607507429))
1253,0.8802282677298128,B0*i*s**2 ; B1 + i,-1.39157129588655*i*s**2 ; i + 0.0790557250609551
1254,0.8801956016993275,B0*s + i ; B1*r + r**2,i + 3.72569542928199*s ; r**2 + 8.66443848664533*r
1255,0.8801485587959996,B0 + B1*sqrt(Abs(i)) + B2*s ; sqrt(Abs(i)),0.375646618175226*s + 0.0377199013942361*sqrt(Abs(i)) - 0.379737339567454 ; sqrt(Abs(i))
1256,0.8801480578799958,B0*s*Abs(i)**(3/2) ; i,7.60226477965992*s*Abs(i)**(3/2) ; i
1257,0.880112157046141,B0*s**2*sqrt(Abs(i + s)) ; B1 + B2*i - r,0.0251660568305886*s**2*sqrt(Abs(i + s)) ; -1.64558241572592*i - r + 0.0737468772645153
1258,0.8800787003771048,B0 + B1*i + B1*s ; B2 - Abs(B3 + sqrt(Abs(i)))**(1/4),-0.000476036072084255*i - 0.000476036072084255*s + 0.0480032100507419 ; -Abs(sqrt(Abs(i)) - 3.44496758458437)**(1/4) - 1.15223399061963
1259,0.8799337139193268,B0*i + B1*i*sqrt(Abs(s)) ; r,0.478144215853748*i*sqrt(Abs(s)) - 0.204478198546374*i ; r
1260,0.8799337133761472,B0*i + B1*i*sqrt(Abs(s)) ; sqrt(Abs(r)),0.478177059269992*i*sqrt(Abs(s)) - 0.20450759983261*i ; sqrt(Abs(r))
1261,0.8799337106352347,B0*i + B1*i*sqrt(Abs(s)) ; B2*Abs(r)**(5/2),0.478220828648371*i*sqrt(Abs(s)) - 0.204540333053781*i ; 0.00697488212426444*Abs(r)**(5/2)
1262,0.8799091698796428,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 + B2*i + i**2)),0.010134044966318*s*sqrt(Abs(i)) ; sqrt(Abs(i**2 + 8.47026951334849*i + 14.3427542733449))
1263,0.879868341093597,B0 + B1*sqrt(Abs(i)) + B2*i ; B3 + i + r,0.00300127162402375*i + 0.0350224748494208*sqrt(Abs(i)) - 0.0480775441132891 ; i + r + 3.28188025292842
1264,0.8798481711027415,B0*s**2*sqrt(Abs(i + s)) ; B1*i,0.0233499554616401*s**2*sqrt(Abs(i + s)) ; -0.581590957851701*i
1265,0.8797766615177028,B0 + B1*i + B2*s ; B3 + r - sqrt(Abs(B4 + i + r)),0.000727711526202664*i + 0.0891251525912117*s - 0.0619714847154532 ; r - sqrt(Abs(i + r + 0.129661444006808)) + 0.394488128997867
1266,0.8797310954261592,B0 - i*s**2 - i ; B1 + B2*i,-i*s**2 - i + 0.0549618117477872 ; 0.0520408407666447 - 0.97780048187912*i
1267,0.8797034228273234,B0*i*s*sqrt(Abs(i - s)) ; i - sqrt(Abs(i)),0.118682703269984*i*s*sqrt(Abs(i - s)) ; i - sqrt(Abs(i))
1268,0.8796631036228243,B0*Abs(i)**(3/4) ; i,0.335289916323934*Abs(i)**(3/4) ; i
1269,0.8796127145111903,B0*i*s ; B1 + B2*r - r**2,-0.221361608496947*i*s ; -r**2 + 0.796859007132684*r + 0.000420622272206442
1270,0.8796102990909185,B0*s**2*sqrt(Abs(i + s)) ; B1 + r,0.0251098052682259*s**2*sqrt(Abs(i + s)) ; r - 0.000602513208498715
1271,0.8794612035514887,B0*i + B1*i**2 ; B2*i + B3*i**2,9.94909048100871*i**2 + 1.90794073453628*i ; -8.05277541454853*i**2 + 2.26806637581647*i
1272,0.8794333515016626,B0*s**2*sqrt(Abs(i + s)) ; B1 - i,0.0249660873462632*s**2*sqrt(Abs(i + s)) ; 0.0420845337665098 - i
1273,0.8794235925742255,B0*i + B1*i**2 ; B2*i,17.6839859668351*i**2 + 1.75509831578096*i ; 2.10887052576014*i
1274,0.8793971986748819,B0 - sqrt(Abs(i)) ; B1 + i,0.285472121264306 - sqrt(Abs(i)) ; i - 0.0666451419975652
1275,0.8793846313836297,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 + B2*i + i*r)),0.0100565143933913*s*sqrt(Abs(i)) ; sqrt(Abs(-i*r + 2.89939265716884*i + 0.769853440719408))
1276,0.8793094692281356,B1*s*Abs(B0 + s)**(1/4) ; B2 + B3*i,0.0868067333643861*s*Abs(s - 0.937183410656029)**(1/4) ; 76.2089948450939*i + 4.32656970387506
1277,0.8792835774709967,B0*s**2*sqrt(Abs(i + s)) ; B1 + B2*r - i,0.0267161241134747*s**2*sqrt(Abs(i + s)) ; -i - 0.437179020803303*r + 0.0917045943634802
1278,0.8792798326278075,s*Abs(B0 + B1*i)**(1/4) ; r,s*Abs(5.46273989490635e-5*i - 3.40250210779916e-6)**(1/4) ; r
1279,0.8792756866409506,B0*sqrt(Abs(s)) ; B1 + r**2 + r,0.0341022605008422*sqrt(Abs(s)) ; r**2 + r + 0.000730306174220872
1280,0.8792750395708737,B0*sqrt(Abs(s)) ; B1*r*Abs(i)**(1/4),0.0341022607943123*sqrt(Abs(s)) ; 0.00338767980946461*r*Abs(i)**(1/4)
1281,0.8792732523968163,B1*s*Abs(B0 + s)**(1/4) ; B2*i*r,0.0879434601637876*s*Abs(s - 0.93627125693627)**(1/4) ; 6.73389059645745*i*r
1282,0.8792630911384925,B0*sqrt(Abs(s)) ; B1*Abs(i)**(1/8),0.0335176366680109*sqrt(Abs(s)) ; 0.000178809837758779*Abs(i)**(1/8)
1283,0.8792625906132241,B0*sqrt(Abs(s)) ; B2*Abs(B1 + i)**(1/4),0.0341022601393053*sqrt(Abs(s)) ; 0.021672616150288*Abs(i + 0.00620215226414102)**(1/4)
1284,0.8792614965326699,B0*sqrt(Abs(s)) ; -2*i + 2*r,0.0335176366152874*sqrt(Abs(s)) ; -2*i + 2*r
1285,0.8792587303031624,B0*sqrt(Abs(s)) ; B1*i*r**2,0.0335176365003725*sqrt(Abs(s)) ; 0.000322391313607367*i*r**2
1286,0.8792486394204829,B0*i + B0*sqrt(Abs(s)) ; i,0.0327369759094446*i + 0.0327369759094446*sqrt(Abs(s)) ; i
1287,0.8792251060014192,B1*sqrt(Abs(B0 - sqrt(Abs(i)))) ; sqrt(Abs(i)),0.0168455424549858*sqrt(Abs(sqrt(Abs(i)) - 10.0495548641767)) ; sqrt(Abs(i))
1288,0.8792228495038261,B0*sqrt(Abs(s)) ; B1*i - i*r,0.0339697207257877*sqrt(Abs(s)) ; -i*r + 0.0372255770845126*i
1289,0.8792221774122465,B0*sqrt(Abs(s)) ; B1 + B2*i - r,0.0339697229772811*sqrt(Abs(s)) ; 1.91859726432308*i - r + 0.0802961497525059
1290,0.8792081844388986,B0*sqrt(Abs(s)) ; B1 + i + Abs(r)**(1/4),0.0339045964412929*sqrt(Abs(s)) ; i + Abs(r)**(1/4) + 0.406523416949552
1291,0.8792041579827102,B0*sqrt(Abs(s)) ; -i*r - 2*i,0.0339630712857275*sqrt(Abs(s)) ; -i*r - 2*i
1292,0.8792032288306988,B0*sqrt(Abs(s)) ; B1 - i + 2*r,0.0333895945597183*sqrt(Abs(s)) ; -i + 2*r + 0.472522492069811
1293,0.8792028947674526,B0*sqrt(Abs(s)) ; B1 + 2*i + r,0.0333895928759382*sqrt(Abs(s)) ; 2*i + r + 0.0006932704064281
1294,0.879202020469332,B0*sqrt(Abs(s)) ; B2*Abs(B1 + r)**(1/4),0.0339645010198854*sqrt(Abs(s)) ; 0.000380691374807862*Abs(r + 0.5893672297155)**(1/4)
1295,0.8791865553564372,B0*sqrt(Abs(s)) ; B2*Abs(B1 - i)**(1/4),0.033383171505241*sqrt(Abs(s)) ; 0.0220673375675745*Abs(i - 0.000102518131035375)**(1/4)
1296,0.8791394988829538,B0*Abs(i)**(1/8)*Abs(s)**(3/4) ; B2*sqrt(Abs(B1 + i - r)),0.0383552905456053*Abs(i)**(1/8)*Abs(s)**(3/4) ; 0.935619641034554*sqrt(Abs(i - r + 0.37764651997774))
1297,0.8791308450812029,B0*sqrt(Abs(s)) ; B1 + 2*i - r,0.0345029146064602*sqrt(Abs(s)) ; 2*i - r + 0.00172613510457825
1298,0.8791159824567127,B0 + i**2 ; B1 + B2*i + i*r,i**2 + 0.00573205140082961 ; i*r + 0.1803959352474*i - 0.0157100352191894
1299,0.8791158486519249,sqrt(Abs(B0 + B1*i)) ; B2 + B3*i**2*r,sqrt(Abs(2.14751165070895e-5*i - 0.00215262677590731)) ; 6.51046891054648e-5*i**2*r - 1.44610900775421
1300,0.8790859302834352,B0*i + B1*s ; i + r,0.000103730798934507*i + 0.0463024733067635*s ; i + r
1301,0.8790392162395411,B0*i + i**2*s ; B1*i,i**2*s + 1.1665271771115*i ; 4.03456965940121*i
1302,0.8790139306731235,B1*i*s*sqrt(Abs(B0 + i)) ; sqrt(Abs(i)),-1.5585547214715e-5*i*s*sqrt(Abs(i - 49106.9762003484)) ; sqrt(Abs(i))
1303,0.8790019087156393,B0*i + B1*i*s ; i + sqrt(Abs(i)),-0.0681555732291045*i*s - 0.0132193547524594*i ; i + sqrt(Abs(i))
