time,estimated_S,estimated_I,estimated_R
0.0,0.98,0.02,0.0
1.0126582278481013,4.956141544683522,0.027784534336556116,-3.9839260790200783
2.0253164556962027,8.928619411496571,0.03848468988216883,-7.96710410137874
3.037974683544304,12.897243208307202,0.05205701692474474,-11.949300225231946
4.050632911392405,16.861788856781992,0.06849383292715074,-15.930282689709143
5.063291139240507,20.821987279503283,0.0878313731400185,-19.909818652643306
6.075949367088608,24.777506877768637,0.11016324803690127,-23.88767012580554
7.088607594936709,28.72792479253466,0.13566371117125778,-27.863588503705913
8.10126582278481,32.672674969859656,0.16463148428354102,-31.837306454143192
9.113924050632912,36.61094196737693,0.1975826410125085,-35.808524608389455
10.126582278481013,40.54139143150368,0.23549445356889817,-39.77688588507258
11.139240506329115,44.461070864796994,0.2808375898991462,-43.74190845469614
12.151898734177216,48.37231457372802,0.33058625659346824,-47.7029008303215
13.164556962025317,52.297283473691785,0.36330152932073767,-51.66058500301253
14.177215189873419,56.231354059095324,0.38474964190401156,-55.616103700999346
15.18987341772152,60.172565435560365,0.39768016497740083,-59.57024560053779
16.20253164556962,64.11986353963832,0.40376418541241305,-63.52362772505076
17.21518987341772,68.07256058449902,0.4041927947878865,-67.47675337928695
18.227848101265824,72.03016153199816,0.399880062251573,-71.43004159424977
19.240506329113927,75.99228785599135,0.39155744148240035,-75.38384529747381
20.253164556962027,79.95863787536416,0.3798259188450574,-79.33846379420928
21.265822784810126,83.9289637875912,0.3651881375247376,-83.29415192511601
22.27848101265823,87.90305730683252,0.3480697952385256,-87.25112710207112
23.291139240506332,91.88074014300271,0.3288347486761194,-91.2095748916789
24.303797468354432,95.86185744156744,0.30779609832578364,-95.16965353989328
25.31645569620253,99.84627303750335,0.2852246909641361,-99.13149772846755
26.329113924050635,103.83386597851685,0.26135573207360824,-103.09522171059054
27.341772151898738,107.8245278849476,0.23639408826788968,-107.06092197321559
28.354430379746837,111.81816091658952,0.2105185918475885,-111.0286795084372
29.367088607594937,115.81467616149187,0.18388561252599506,-114.99856177401796
30.37974683544304,119.81399235646933,0.15663202897466275,-118.97062438544407
31.392405063291143,123.81603484960014,0.12887773851841594,-122.94491258811865
32.40506329113924,127.82073474950765,0.10072779308224164,-126.92146254258998
33.41772151898734,131.82802822038303,0.07227422899535049,-130.90030244937847
34.43037974683544,135.83785589078846,0.04359764684652317,-134.88145353763508
35.44303797468355,139.85016236118713,0.014768568501251229,-138.86493092968848
36.45569620253165,143.86489577377873,-0.014151361399224134,-142.85074441237958
37.46835443037975,147.88200745355647,-0.04310834407402701,-146.83889910948253
38.481012658227854,151.90145159513028,-0.0720555163143369,-150.82939607881602
39.493670886075954,155.92318499116425,-0.10095215072447934,-154.82223284043982
40.50632911392405,159.94716679551348,-0.1297629511522754,-158.81740384436128
41.51898734177215,163.97335831575276,-0.15845743181844307,-162.8149008839344
42.53164556962025,168.0017228304466,-0.18700936821686176,-166.81471346222983
43.54430379746836,172.03222542681073,-0.2153963095059116,-170.81682911730493
44.55696202531646,176.0648328587386,-0.2435991518915312,-174.82123370684715
45.56962025316456,180.09951341630642,-0.2716017496743917,-178.8279116666321
46.582278481012665,184.13623680977918,-0.29939057267037367,-182.8368462371089
47.594936708860764,188.1749740702276,-0.32695441324710484,-186.8480196569806
48.607594936708864,192.21569745359426,-0.3542841097930069,-190.86141334380133
49.620253164556964,196.25838035798287,-0.3813723098373033,-194.87700804814568
50.63291139240506,200.30299724707174,-0.40821325530751673,-198.89478399176437
51.64556962025317,204.34952358050026,-0.434802591205916,-202.91472098929447
52.65822784810127,208.3979357510549,-0.46113719766654226,-206.93679855338846
53.67088607594937,212.44821102689178,-0.4872150376254108,-210.96099598926648
54.683544303797476,216.5003274987046,-0.5130350218152099,-214.98729247688948
55.696202531645575,220.55426403142482,-0.538596889371677,-219.01566714205327
56.708860759493675,224.6100002197319,-0.5639011007054551,-223.04609911902656
57.721518987341774,228.6675163467569,-0.588948741316745,-227.0785676054403
58.734177215189874,232.72679334559967,-0.6137414350060454,-231.11305191059373
59.74683544303798,236.78781276633995,-0.6382812744483343,-235.14953149189174
60.75949367088608,240.85055674120943,-0.662570746660064,-239.18798599454945
61.77215189873418,244.91500795610375,-0.6866126781429415,-243.2283952779609
62.784810126582286,248.9811496222063,-0.7104101804346762,-247.27073944177172
63.797468354430386,253.04896544927522,-0.7339666008348577,-251.3149988484404
64.81012658227849,257.118439622758,-0.7572854850034008,-255.36115413775465
65.82278481012659,261.1895567796923,-0.7803705350369102,-259.4091862446554
66.83544303797468,265.26230198863595,-0.8032255808454959,-263.4590764077906
67.84810126582279,269.33666072935006,-0.8258545494539739,-267.5108061798962
68.86075949367088,273.4126188742215,-0.848261439414936,-271.56435743480665
69.87341772151899,277.4901626713387,-0.8704503000185784,-275.61971237132013
70.8860759493671,281.5692787274933,-0.8924252094839225,-279.6768535180094
71.89873417721519,285.64995399344286,-0.9141902602339068,-283.735763733209
72.9113924050633,289.7321757490327,-0.9357495422984194,-287.79642620673434
73.9240506329114,293.81593158976335,-0.9571071310957493,-291.8588244586677
74.9367088607595,297.9012094139871,-0.9782670764321543,-295.922942337555
75.9493670886076,301.9879974106104,-0.9992333921544849,-299.988764018456
76.96202531645571,306.07628404797873,-1.02001004915664,-304.0562739988222
77.9746835443038,310.166058062503,-1.0406009663098954,-308.1254570961932
78.98734177215191,314.2573084487128,-1.0610100058027228,-312.19629844291023
80.0,318.3500244499157,-1.081240969708958,-316.2687834802069
