rank,reward,equations,equations_with_constants
1,0.9260546839350993,B0*i*s ; B1 + B2*r,0.237430385980856*i*s ; -1.39153782074891*r - 0.0329605781132564
2,0.9260516101924089,B0*i*s ; B1 - r,0.236563204069566*i*s ; -r - 0.0254397130554991
3,0.9260099364610251,B0*i*s ; B1*i,0.362746743293569*i*s ; 0.0858104985375584*i
4,0.9254812401834468,B0*i*s ; B1 - sqrt(Abs(i)),0.00138157122873461*i*s ; -sqrt(Abs(i)) - 1.14988676952945
5,0.9254671339284161,B0*i*s ; sqrt(Abs(B1 - r)),-0.00156877702986715*i*s ; sqrt(Abs(r + 4.93387321784305))
6,0.9254671339154603,B0*i*s ; sqrt(Abs(B1 + r)),-0.0015687308214911*i*s ; sqrt(Abs(r + 4.93430910434671))
7,0.9254641691107126,B0*i*s ; sqrt(Abs(B1 - i)),-0.00156974100061252*i*s ; sqrt(Abs(i - 4.98420865415508))
8,0.9247393956598354,B0*i*s ; sqrt(Abs(i - r)),-0.00142480840200157*i*s ; sqrt(Abs(i - r))
9,0.9245820007203159,B0*i*s ; sqrt(Abs(B1 - sqrt(Abs(i)))),-0.00605488365012268*i*s ; sqrt(Abs(sqrt(Abs(i)) - 0.121837861744945))
10,0.9244199272639976,B0*i*s ; B1 + i + r,-0.017080860551855*i*s ; i + r + 0.362325503334866
11,0.9239694922382641,B0*i*s ; B1*r,0.289078863269044*i*s ; 0.000136938875688633*r
12,0.923969491169695,B0*i*s ; 2*r,0.289107164358115*i*s ; 2*r
13,0.9239694909496603,B0*i*s ; sqrt(2)*sqrt(Abs(r)),0.289108575652057*i*s ; sqrt(2)*sqrt(Abs(r))
14,0.9239694907224641,B0*i*s ; B1*i*r,0.289066596500798*i*s ; 0.00955202912437949*i*r
15,0.9239694905929602,B0*i*s ; sqrt(Abs(r)),0.289110675474895*i*s ; sqrt(Abs(r))
16,0.9239694905682071,B0*i*s ; Abs(r)**(1/4),0.289065719252073*i*s ; Abs(r)**(1/4)
17,0.923969490247798,B0*i*s ; r**2,0.289063998240364*i*s ; r**2
18,0.9239694854928271,B0*i*s ; Abs(r)**(3/2),0.28913051261962*i*s ; Abs(r)**(3/2)
19,0.9239694822762622,B0*i*s ; i*r,0.289139194372124*i*s ; i*r
20,0.9239694780599578,B0*i*s ; r,0.289027821549157*i*s ; r
21,0.92333118472924,B0*i*s ; B1 - i - r,0.001310387931628*i*s ; -i - r - 5.48701325023401
22,0.9210513555134213,B0*i*s ; sqrt(Abs(i)),-0.00297900379371203*i*s ; sqrt(Abs(i))
23,0.9171688378368207,B0*s*sqrt(Abs(i)) ; B1 + B2*r,0.0136862245469993*s*sqrt(Abs(i)) ; 0.390864682349156*r - 0.214548162571828
24,0.916864682070584,B0*i ; B1 - r,-0.0451808622748651*i ; 1.14907153738599 - r
25,0.9167915511818131,B0*i*s ; B1 + B2*sqrt(Abs(r)),0.237735555414747*i*s ; 0.498646371903539*sqrt(Abs(r)) - 0.0756253310309816
26,0.9161733716294055,B0*i*s ; sqrt(Abs(B1 + i - r)),-0.00127576396363878*i*s ; sqrt(Abs(-i + r + 0.75123857269867))
27,0.9161733715545777,B0*i*s ; sqrt(Abs(B1 - i + r)),-0.00127569216712645*i*s ; sqrt(Abs(-i + r + 0.751511490996434))
28,0.9161263601717818,B0*s*sqrt(Abs(i)) ; B1*r + i,0.0827911359580229*s*sqrt(Abs(i)) ; i + 0.999306134148524*r
29,0.9160688232491379,B0*i**2 ; B1 + B2*r,0.158861227726119*i**2 ; 0.149821170747533 - 0.118071538015073*r
