time,true_S,true_I,true_R
0.0,0.88,0.12,0.0
1.0126582278481013,0.862454914229203,0.1275266008524169,0.010018484918380099
2.0253164556962027,0.8429419226040465,0.13636030583013115,0.02069777156582241
3.037974683544304,0.8210221816345444,0.1468216425301647,0.03215617583529108
4.050632911392405,0.7961302616728773,0.15932802965810836,0.04454170866901444
5.063291139240507,0.7675350854286743,0.174423783712517,0.058041130858808666
6.075949367088608,0.7342950303481484,0.19281341162704627,0.07289155802480525
7.088607594936709,0.695217886622034,0.21538749581290362,0.08939461756506227
8.10126582278481,0.6488597261044778,0.24320885654690225,0.10793141734861977
9.113924050632912,0.5936469430730561,0.27738068775930863,0.12897236916763521
10.126582278481013,0.5282933529009629,0.3186400858815909,0.1530665612174461
11.139240506329115,0.45275206416596087,0.3664680745797107,0.18077986125432832
12.151898734177216,0.36971000614781757,0.417749723930715,0.2125402699214673
13.164556962025317,0.28564129806883376,0.4659734719441183,0.2483852299870478
14.177215189873419,0.20935591784420435,0.5029114880526339,0.28773259410316165
15.18987341772152,0.14777103484728074,0.5228244324195026,0.32940453273321657
16.20253164556962,0.10274676523430977,0.525284985346162,0.3719682494195282
17.21518987341772,0.07191694729405805,0.513942610401853,0.414140442304089
18.227848101265824,0.05145176880536301,0.49355175089211817,0.4549964803025188
19.240506329113927,0.03793428232317268,0.4680930768262415,0.4939726408505859
20.253164556962027,0.02890611918360848,0.44031614253341755,0.530777738282974
21.265822784810126,0.022757982087696815,0.4119425051978489,0.5652995127144543
22.27848101265823,0.018474668619770387,0.38399069850564355,0.5975346328745862
23.291139240506332,0.015420433472272727,0.35703666065709166,0.6275429058706358
24.303797468354432,0.013193846453309685,0.331387174646259,0.6554189789004314
25.31645569620253,0.011537296296878902,0.30718745326414415,0.681275250438977
26.329113924050635,0.010282161903226849,0.28448619996292557,0.7052316381338476
27.341772151898738,0.009315707351010418,0.26327481289535315,0.7274094797536363
28.354430379746837,0.008560949410872605,0.24351111680103585,0.7479279337880914
29.367088607594937,0.007964235102043972,0.2251338705635314,0.7669018943344246
30.37974683544304,0.007487432098286293,0.20807173009278035,0.7844408378089334
31.392405063291143,0.007102939843735592,0.19224881244850534,0.8006482477077591
32.40506329113924,0.006790434850692621,0.17758816704404182,0.8156213981052655
33.41772151898734,0.006534718313382749,0.16401391968406975,0.8294513620025474
34.43037974683544,0.006324257777658432,0.15145258670030654,0.8422231555220351
35.44303797468355,0.006150186157534553,0.13983384774594756,0.854015966096518
36.45569620253165,0.006005603208518239,0.12909096928098138,0.8649034275105004
37.46835443037975,0.005885080815551728,0.11916099935319596,0.8749539198312524
38.481012658227854,0.005784307552921559,0.1099848139914547,0.8842308784556238
39.493670886075954,0.005699826153990706,0.10150707167832985,0.8927931021676795
40.50632911392405,0.00562884506252672,0.09367609863209199,0.9006950563053813
41.51898734177215,0.005569094591460012,0.08644374160353872,0.9079871638050012
42.53164556962025,0.005518717246454881,0.07976519936560963,0.9147160833879354
43.54430379746836,0.005476184885579088,0.07359884120477589,0.9209249739096449
44.55696202531646,0.0054402344050139525,0.06790602165589116,0.9266537439390948
45.56962025316456,0.0054098175808363035,0.06265089660304142,0.9319392858161222
46.582278481012665,0.00538406139843257,0.0578002430851574,0.9368156955164099
47.594936708860764,0.0053622364917177015,0.05332328569412342,0.9413144778141587
48.607594936708864,0.005343732480671177,0.04919152963340908,0.9454647378859196
49.620253164556964,0.0053280357069982395,0.045378605057929025,0.9492933592350726
50.63291139240506,0.0053147147736439075,0.04186011511124895,0.952825170115107
51.64556962025317,0.005303405917044319,0.03861349646611916,0.9560830976168365
52.65822784810127,0.005293802360181372,0.035617886961463625,0.959088310678355
53.67088607594937,0.005285644878899467,0.03285400219227392,0.9618603529288265
54.683544303797476,0.00527871430697633,0.030304020076212163,0.9644172656168115
55.696202531645575,0.005272825035441326,0.027951473282570184,0.9667757016819883
56.708860759493675,0.005267819924194995,0.02578114864291703,0.9689510314328879
57.721518987341774,0.005263565660303079,0.02377899378817372,0.9709574405515231
58.734177215189874,0.0052599492762835515,0.021932030505223417,0.972808020218493
59.74683544303798,0.005256874827719024,0.02022827415911349,0.9745148510131674
60.75949367088608,0.005254260951626776,0.018656658792491437,0.9760890802558817
61.77215189873418,0.0052520384906801845,0.0172069677732023,0.9775409937361175
62.784810126582286,0.005250148767158137,0.015869769546650772,0.978880081686191
63.797468354430386,0.005248541888966912,0.014636357976394256,0.9801151001346388
64.81012658227849,0.005247175562706476,0.013498697347609629,0.9812541270896838
65.82278481012659,0.005246013679438237,0.012449370983413978,0.9823046153371477
66.83544303797468,0.005245025570413589,0.011481534229637923,0.9832734401999484
67.84810126582279,0.0052441853128854235,0.010588870810843237,0.9841669438762712
68.86075949367088,0.00524347070810725,0.009765551952836621,0.984990977339056
69.87341772151899,0.0052428630180457675,0.00900619962843117,0.9857509373535229
70.8860759493671,0.0052423462077271195,0.008305851310390513,0.9864518024818822
71.89873417721519,0.005241906684181025,0.007659928510796215,0.9870981648050227
72.9113924050633,0.0052415329062183436,0.007064207095133339,0.9876942599986482
73.9240506329114,0.005241215012286684,0.006514789783519017,0.9882439952041943
74.9367088607595,0.005240944672462958,0.0060080814725931315,0.9887509738549438
75.9493670886076,0.005240714754727698,0.0055407653305721925,0.9892185199147001
76.96202531645571,0.00524051922305656,0.005109781820819062,0.9896496989561244
77.9746835443038,0.005240352935799412,0.0047123085351555545,0.990047338529045
78.98734177215191,0.0052402115113527594,0.004345741901570082,0.9904140465870772
80.0,0.005240091242357253,0.0040076805029289455,0.9907522282547139
