rank,reward,equations,equations_with_constants
1,0.8808003426150153,B0*i*s ; B1 + B2*i,0.395452675402489*i*s ; 0.101433993265467*i - 2.66813998748253e-5
2,0.8807946890730307,B0*i*s ; B1*i,0.39575744099213*i*s ; 0.101331001601156*i
3,0.8638068602485431,B0*i*s ; B1 + Abs(B2 - i)**(1/4),0.3960431150573*i*s ; Abs(i + 3.15417432722406)**(1/4) - 1.33284081465171
4,0.8633913886019606,B0*i*s ; B1*i + B2*r,0.396309887657754*i*s ; 0.101643453356033*i - 0.000142857862018606*r
5,0.8632675145652777,B0 + B1*i*s ; B2*i,0.395629446522959*i*s + 9.93866466502536e-6 ; 0.101337838559955*i
6,0.8579721659055692,B0 + B1*i*s ; B2 + B3*r,0.446491073907669*i*s + 0.0317026451381343 ; 0.0367239341079422 - 0.00643305567923474*r
7,0.8546365428049827,B0*i ; -i*sqrt(Abs(B1 + r)) + i,-0.0932329177043751*i ; -i*sqrt(Abs(r + 1.89051260681595)) + i
8,0.8482746468229311,B0*s + B1*s**2 ; B2 + B3*i + B4*r,-0.260447958979779*s**2 + 0.266799300083251*s ; 0.0884188477945093*i - 0.00811463197722809*r + 0.00770157897571653
9,0.8476128625760775,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.393392512094617*i*s - 0.0045222585799324*s ; 0.114105332631241*i + 0.00403301882621702*r - 0.00447382436922344
10,0.8473704824093368,B0*s + B1*i*s ; B2*i + B3*r,0.413095774984874*i*s - 0.00109009264192003*s ; 0.103004467653502*i - 0.000309662687959794*r
11,0.8471323453051092,B0 + B1*i*s ; B2*i + B3*i*r,0.376581341169489*i*s + 0.000500907070234683 ; 0.0187291572830851*i*r + 0.0938073970057513*i
12,0.8470467596316655,B0*s + B1*s**2 ; B3*i*sqrt(Abs(B2 + r)),-0.280682222823769*s**2 + 0.283538278691483*s ; 0.0896563541786735*i*sqrt(Abs(r - 1.8814383842181))
13,0.8468915182108101,B0 + B1*i*s ; B2*i + B3*i**2,0.3963015448422*i*s + 0.000449603221869044 ; -0.0318638974489883*i**2 + 0.111412327929249*i
14,0.8468730392599292,B0*s + B1*i*s ; B2*i + B3*i**2,0.408498096896682*i*s - 0.000884156065521077*s ; 0.00133585247581646*i**2 + 0.101721667506062*i
