rank,reward,equations,equations_with_constants
1,3.4103982894722286e-44,B0 + B1*x**2 + x ; B2*y + B3*y**2 + B4*x*y ; B5*y + B6*y**2,5.70899782270986e-5*x**2 + x - 0.0673598954532322 ; 0.0991712866040208*x*y + 0.00138638123141824*y**2 - 0.0139759698063523*y ; 0.00217408469647341*y**2 + 1.46998128298519*y
41,0.0,B0*x**2 ; x**3 + 2*x*y ; B1*y,67.5955078177015*x**2 ; x**3 + 2*x*y ; 0.01960711132563*y
42,0.0,B0 + B1*x**2 ; 2*x**3 ; y,68.5366267618793*x**2 + 0.00288294013551823 ; 2*x**3 ; y
43,0.0,x ; 2*y**2 ; y,x ; 2*y**2 ; y
44,0.0,x ; B0 + B1*x + B2*y + x*y ; y,x ; x*y - 0.814764325390114*x - 12.2960850787257*y + 14.9964314676487 ; y
45,0.0,B0 + B1*x**2 ; B2*y + 2*x*y + 2*y**2 ; B3 + B4*y + B5*y**2,22.9944791040708*x**2 + 0.111214563314617 ; 2*x*y + 2*y**2 + 12.5378147769048*y ; 0.0196848976985954*y**2 + 0.00352142481612615*y + 0.00374681991004708
46,0.0,B0*x + B1*x**2 + B2*x**3 ; B3*y + B4*x*y**3 ; B5 + B6*y,0.389608071852223*x**3 + 91.6613385302963*x**2 + 0.0640818801694058*x ; -0.000404187627638754*x*y**3 + 68.1886489945747*y ; 60.8638256571355*y - 10.3081378233073
47,0.0,-2*x ; B0*x + B1*y ; 2*y,-2*x ; -1.04944499138786*x + 0.947467355535799*y ; 2*y
48,0.0,B0*x + B1*x**2 ; B2*x + x*y**2 - x*y ; y,54.2534926378023*x**2 + 0.256500721532842*x ; x*y**2 - x*y + 0.0671157078913453*x ; y
49,0.0,B0*x + 2*x**2 ; B1*x + B2*x*y + x*y**2 ; B3*y,2*x**2 + 96.2579158210531*x ; x*y**2 + 0.0106028489175727*x*y + 0.364727799750177*x ; 9.01125048695267*y
50,0.0,B0*x ; 2*x**2*y**2 ; B1 + y,0.000498838500524013*x ; 2*x**2*y**2 ; y + 1.66913489152261
51,0.0,B0 + x ; B1 + B2*y ; B3*y**2,x + 0.191971277170907 ; 1.03394886994781*y + 2.57895324856105 ; 0.13962180575034*y**2
52,0.0,B0 + B1*x**2 ; B2*x + 2*x**2 + x*y ; y,-0.0694118046836665*x**2 - 0.00716750837392239 ; 2*x**2 + x*y - 0.0336965329793038*x ; y
53,0.0,B0 + B1*x + B2*x**3 ; B3*y + x*y ; y,0.0406660242549781*x**3 + 0.034097949786557*x + 0.0536647833988719 ; x*y - 0.021465971215189*y ; y
54,0.0,B0*x**2 + x ; x*y**2 + x*y + y**2 ; 2*y,0.0491007896113582*x**2 + x ; x*y**2 + x*y + y**2 ; 2*y
55,0.0,B0 + B1*x ; B2*y + B3*x*y + y**2 ; B4*y**2 + y,91.5780314499937*x + 0.00254166920875724 ; -0.354882149361096*x*y + y**2 + 1.20933059930364*y ; 0.131637700883488*y**2 + y
56,0.0,B0 + 3*x ; B1 + B2*x + B3*y ; B4*y,3*x - 3.65100514565962 ; 1.77998059740058*x + 2.78764365941846*y + 3.70523183059817 ; 16.8301154508568*y
57,0.0,B0 + x**2 - x ; B1 + B2*x + B2*y ; -2*y**2 + 2*y,x**2 - x + 0.0166430484720477 ; 0.203028593773626*x + 0.203028593773626*y + 0.000140273918546235 ; -2*y**2 + 2*y
58,0.0,B0 + B1*x ; B2 + B3*x ; B4 + 2*y,3.58724340896425*x - 380.469315273794 ; 6.51945741737258*x - 426.078999650103 ; 2*y - 345.09277436269
59,0.0,B0 + B1*x ; B2*x + B2*y ; B3*y,0.200851387538983*x + 20.7313077875593 ; 0.925274685141642*x + 0.925274685141642*y ; 2.31214404742541*y
60,0.0,B0 + 4*x ; 2*x*y + y**2 ; B1*y**2 - y,4*x + 7.73311524197417 ; 2*x*y + y**2 ; 7.45934947550189*y**2 - y
61,0.0,B0 + x**2 ; B1*x + 2*x*y ; B2 + y,x**2 - 75.193444807677 ; 2*x*y - 7.75413392429965*x ; y + 5.3860508964941
62,0.0,B0 + B1*x ; B2*x + x**2 ; y,3.78366601092193*x - 48.0836507608539 ; x**2 - 14.7623694440707*x ; y
63,0.0,B0*x**2 + x ; y**2 ; B1*y + B2*y**2,-0.0434005142763784*x**2 + x ; y**2 ; 3.5089960182908*y**2 - 5.69125903159367*y
64,0.0,B0*x + B1*x**2 ; B2*y + B3*x**2*y - x**3*y ; 2*y,37.8640001928184*x**2 + 33.739956757092*x ; -x**3*y + 38.4404835521869*x**2*y + 28.7745510175241*y ; 2*y
65,0.0,B0 + x ; B1 + B2*x + x**2 ; y,x - 5.20395590876725 ; x**2 - 21.9819758976276*x + 110.79166540481 ; y
66,0.0,B0 + x ; B1 + B2*x + B2*y ; B3 + 3*y,x - 104.216927558488 ; 1.44807546144778*x + 1.44807546144778*y - 125.837564414233 ; 3*y - 118.920750592839
67,0.0,x ; x*y + y**2 ; B0 + B1*y + y**3 + y**2,x ; x*y + y**2 ; y**3 + y**2 - 25.5446335795331*y + 209.838647668116
68,0.0,B0*x ; 2*x*y + y**2 ; y,0.28963071669909*x ; 2*x*y + y**2 ; y
69,0.0,2*x ; B0*y ; B1 + B2*y,2*x ; -5.6360807072189*y ; 8.21030276773642*y + 66.2319243516138
70,0.0,2*x ; 2*x*y + 2*y**2 ; B0*y,2*x ; 2*x*y + 2*y**2 ; 0.044290529087466*y
71,0.0,B0 - x**2 + x ; x**2*y + 2*x*y ; B1 + B2*y,-x**2 + x + 0.27056240677797 ; x**2*y + 2*x*y ; 0.122995629890547*y + 0.00219884441756731
72,0.0,B0 + B1*x ; B2*y ; B3 + B4*y,55.6074796073204 - 1.14250171545451*x ; 3.77272483842216*y ; 4.79554527295686*y - 10.3924211354264
73,0.0,B0 + x ; B1*y + B2*x*y + B3*x**2*y ; y,x - 5.0025222928523 ; 0.0242337042637542*x**2*y - 0.564988616335716*x*y + 4.02370029417567*y ; y
74,0.0,B0 + B1*x**3 ; B2*x + 2*x*y ; y,0.0149677061098594*x**3 + 0.14660746782623 ; 2*x*y - 0.00682898391266526*x ; y
75,0.0,B0 + B1*x - x**2 ; x**2 + x*y ; B2*y + B3*y**2 - y**3,-x**2 + 3.80555151360716*x + 0.203755743321981 ; x**2 + x*y ; -y**3 + 0.00379185669620324*y**2 + 0.00895193327024573*y
76,0.0,B0 + x**2 + 2*x ; B1*y + 2*x*y + 2*y**2 ; B2*y + 3*y**2,x**2 + 2*x + 0.299038866758331 ; 2*x*y + 2*y**2 + 0.0282637702292006*y ; 3*y**2 + 1.51751393961629*y
77,0.0,B0 + x ; B1*y + y**2 ; y,x - 1.2361708233258 ; y**2 - 3.99988171753937*y ; y
78,0.0,B0 + B1*x**2 + x ; B2*y + 2*x*y + y**2 ; B3 + y,0.0284509244443471*x**2 + x + 0.13719147494535 ; 2*x*y + y**2 - 0.808389451242741*y ; y - 0.56890122322075
79,0.0,B0 - x ; B1*y + y**2 ; B2*y - y**3 + y**2,18.873041931381 - x ; y**2 + 0.0401829546247647*y ; -y**3 + y**2 + 5.09488636438441*y
80,0.0,B0 + B1*x ; B2*x*y ; y**2,11.355710125284*x - 76.0769117157902 ; 0.644415561915912*x*y ; y**2
81,0.0,B0 + 2*x ; x**2*y - x*y**2 + y**2 ; y,2*x + 2.89004985056466 ; x**2*y - x*y**2 + y**2 ; y
82,0.0,B0 + x ; B1 + B2*y ; B3 + B4*y**2 + y,x + 1.76946591535881 ; 23.1604703838349 - 1.44640747080978*y ; 0.0129073483317523*y**2 + y + 0.201072420275432
83,0.0,B0*x ; x*y + y**2 ; B1 + y,-0.145791804096963*x ; x*y + y**2 ; y - 0.760648603066803
84,0.0,B0 + B1*x + B2*x**2 + x**3 ; B3*y + y**2 ; B4*y + B5*y**2,x**3 + 1.12862054607761*x**2 + 0.00695007854619616*x + 0.0559189559014176 ; y**2 + 0.648033157012848*y ; 1.12261897262184*y**2 - 0.600989360956245*y
85,0.0,B0*x ; 2*x*y ; y,0.444731531671509*x ; 2*x*y ; y
86,0.0,B0 + x ; 2*x*y**2 ; B1 + 2*y,x + 402.351763120624 ; 2*x*y**2 ; 2*y + 318.183301521826
87,0.0,B0 + x ; 2*x*y ; B1*y,x + 47.7309979598584 ; 2*x*y ; 4.51447470408819*y
88,0.0,B0 + B1*x ; B2*y + 4*y**2 ; B3 - y,4.74412431516723*x + 0.491861835320567 ; 4*y**2 + 26.3823191154771*y ; 42.8474932438338 - y
89,0.0,B0 + 3*x ; 2*x**2*y - 2*y**2 ; y,3*x + 1.93397711363529 ; 2*x**2*y - 2*y**2 ; y
90,0.0,B0 + B1*x ; B2*y + 2*y**2 ; y,0.0763805283522009*x + 0.0176314901372828 ; 2*y**2 + 0.0136135695162062*y ; y
91,0.0,B0*x + x**2 ; B1*y - 4*x*y ; B2*y,x**2 + 40.6206333601398*x ; -4*x*y + 0.135997944778189*y ; 0.276488304740581*y
92,0.0,B0 + B1*x ; 2*x*y ; B2*y,0.0316254984956409*x + 0.473076577777267 ; 2*x*y ; 5.73888574013879*y
93,0.0,B0*x**2 + x**3 + x ; 2*y**2 ; B1*y**2 + B2*y**4,x**3 + 0.0645749417903817*x**2 + x ; 2*y**2 ; 0.0868485146621246*y**4 + 0.00314509692695436*y**2
94,0.0,x**2 + x ; B0*y ; B1*y + B2*y**2 + B3*y**3,x**2 + x ; 54.533902287502*y ; -0.915332194712905*y**3 + 8.23693845389864*y**2 + 39.1488436609168*y
95,0.0,B0 + B1*x ; B2*y + 2*y**2 ; B3 + B4*y**2,0.00054443847223488*x + 0.0854497027206026 ; 2*y**2 + 4.13004899523903*y ; 0.00346321551409307*y**2 + 0.795519447747986
96,0.0,B0 + 3*x ; B1*y ; B2 + B3*y**2,3*x - 1.6384775803239 ; 4.18680574671477*y ; 0.337693802445846*y**2 + 6.8372645388128
97,0.0,x**2 + x ; 2*x**2*y ; y,x**2 + x ; 2*x**2*y ; y
