rank,reward,equations,equations_with_constants
1,3.4103982894722286e-44,B0 + B1*x**2 + x ; B2*y + B3*y**2 + B4*x*y ; B5*y + B6*y**2,5.70899782270986e-5*x**2 + x - 0.0673598954532322 ; 0.0991712866040208*x*y + 0.00138638123141824*y**2 - 0.0139759698063523*y ; 0.00217408469647341*y**2 + 1.46998128298519*y
171,0.0,B0 + 2*x ; B1*y**2 ; B2 + B3*y,2*x + 8.11395800934168 ; 3.45336298459581*y**2 ; 17.511141771981*y + 4.36801818338222
172,0.0,B0 - x**3 + x ; 2*x*y**2 ; B1 - y,-x**3 + x + 0.011406818692829 ; 2*x*y**2 ; 0.00199578684950937 - y
173,0.0,B0 + x ; 2*x*y**2 ; B1 + y,x + 401.190219992327 ; 2*x*y**2 ; y + 312.965489077837
174,0.0,B0 + x ; B1*x**2*y ; 2*y,x + 3.79811954780794 ; 0.00822341792834849*x**2*y ; 2*y
175,0.0,B0 + B1*x ; B2*x*y ; 4*y,150.648995171954 - 7.10530686582877*x ; 0.259011372463592*x*y ; 4*y
176,0.0,B0 + x ; 2*x*y**2 ; B1 - y**2,x + 582.653790397312 ; 2*x*y**2 ; 0.0142678297816835 - y**2
177,0.0,B0 + B1*x - x**2 ; 2*x*y**2 ; B2 + B3*y,-x**2 + 0.00663046126055522*x + 4.59162373517329 ; 2*x*y**2 ; 43.4069189400954*y + 447.218372916543
178,0.0,B0 + x ; B1*x*y ; B2 + B3*y**3,x + 0.903033025665316 ; 0.106978529120685*x*y ; 0.00887253371797209*y**3 + 6.68187201193171
179,0.0,B0 + 2*x ; B1*y**2 ; B2 + B3*y + y**2,2*x + 3.95078876396271 ; 1.69756775207762*y**2 ; y**2 + 8.06827801122811*y + 40.6555841905726
180,0.0,B0 + x ; 2*x*y**2 - 2*y**3 ; B1*y + B2*y**2,x + 435.023139690904 ; 2*x*y**2 - 2*y**3 ; 0.0447204441246085*y**2 + 0.000340579613362203*y
181,0.0,B0 + x ; B1*x*y ; B2 + 4*y,x + 5.88294707390209 ; 0.137636211011743*x*y ; 4*y - 18.4630173272766
182,0.0,B0 - x ; B1*x*y ; 2*y,35.9349401830002 - x ; 0.129064682661627*x*y ; 2*y
183,0.0,B0 + B1*x ; B2*y ; B3 + y,51.2225178306846 - 3.12859322129593*x ; 0.256578790545192*y ; y - 7.59070770154786
184,0.0,B0 + x ; B1*y**2 + 2*y**3 ; B2*y - y**2,x + 11.5782294437456 ; 2*y**3 + 0.000457248765342601*y**2 ; -y**2 + 0.0201920771376535*y
185,0.0,B0 + B1*x ; B2*x*y ; B3 + y,0.651340039618509*x + 6.03599903970379 ; 0.124979686146613*x*y ; y + 4.43973119205912
186,0.0,B0 + x ; 2*x*y**2 ; B1 + B2*y**2,x + 392.719670637426 ; 2*x*y**2 ; 0.0397171498203011*y**2 + 50.0329430431621
187,0.0,B0 + x ; B1*y**2 ; B2*y,x - 15.2115224207374 ; -0.193957178194979*y**2 ; -1.0408148905535*y
188,0.0,B0 + x ; B1*x*y ; B2 - y,x - 10.0489901035128 ; -0.000979812122044539*x*y ; 4.95100911276254 - y
189,0.0,B0 + x ; 2*x**2*y ; B1 + B2*y,x + 0.221131612557836 ; 2*x**2*y ; 1.08193770789919*y + 54.6680447255454
190,0.0,B0 + x ; B1*x*y + 2*x*y**2 ; B2 - y,x + 3.43149554682575 ; 2*x*y**2 + 0.0510139730498664*x*y ; -y - 1.42919031305217
191,0.0,B0 + x ; B1*y**2 + 2*y**3 ; B2 + B3*y**2,x + 5.70267013113209 ; 2*y**3 + 0.00378746060629812*y**2 ; 66.054359101201*y**2 + 56.2092860812991
192,0.0,B0 + 3*x ; 2*x**2*y ; B1 + B2*y,3*x + 0.000245395377767226 ; 2*x**2*y ; 0.00165700534341818*y + 25.2855908515769
193,0.0,B0 + B1*x ; B2*y + B3*y**2 ; B4 + 2*y,2.6802841590066*x - 38.4499627242404 ; -0.131032365651098*y**2 - 1.8789873935002*y ; 2*y - 20.1197195354338
194,0.0,B0 + B1*x ; 2*y**3 ; B2 + 2*y,21.2993912121823*x + 0.0864516189697805 ; 2*y**3 ; 2*y + 0.640091362486899
195,0.0,B0 + 2*x ; B1*x*y ; B2 + B3*y,2*x - 10.4004185419595 ; 0.105980530816615*x*y ; 2.60626439900586*y - 12.2341877286227
196,0.0,B0 + 2*x ; B1*y + B2*y**2 ; B3 + 3*y,2*x - 1.16830410388689 ; 0.542761882687751*y**2 + 0.287275027516262*y ; 3*y + 0.00542259907598421
197,0.0,B0 + B1*x ; B2*x*y + 2*x*y**2 ; B3 + y,0.000117486739818257*x + 0.000393357351443002 ; 2*x*y**2 + 0.0503856087196732*x*y ; y + 0.00214342357939505
198,0.0,B0 + x ; B1*y ; B2 + 3*y,x + 3.11634461367574 ; 2.42579989094133*y ; 3*y - 3.51172892745904
199,0.0,B0 + x ; 4*x*y**2 ; B1 + y,x + 0.0570824207596746 ; 4*x*y**2 ; y + 0.160332714368567
200,0.0,B0 + 2*x ; 2*x**2*y ; B1 + B2*y,2*x + 6.51030860627559 ; 2*x**2*y ; 4.27945706520007*y + 5.69104692023442
201,0.0,B0 - x ; B1*x*y ; B2 + B3*y,41.9288433934873 - x ; 0.177704897011914*x*y ; 2.11920958782962*y + 5.51964698792544
202,0.0,B0 + 2*x ; B1*y ; B2 + B3*y,2*x - 17.7295107078552 ; 1.15273053390465*y ; 7.38274159221696*y - 6.21033828213018
203,0.0,B0 + x ; B1*x*y ; B2*y - y**2,x - 2.46080058841469 ; 0.0574061639914784*x*y ; -y**2 + 5.68096767222507*y
204,0.0,B0 + x ; B1*y**3 ; B2 + 2*y,x + 0.00468637429498905 ; 0.0822640959680461*y**3 ; 2*y + 0.283013208989911
205,0.0,B0 + x ; 2*x**2*y ; 2*y,x + 0.101952061722146 ; 2*x**2*y ; 2*y
206,0.0,B0 + x ; B1*y**2 ; B2*y**2 - 2*y**3 + y,x + 21.3460517595538 ; 0.466449406578196*y**2 ; -2*y**3 + 10.4792855256078*y**2 + y
207,0.0,B0 + x ; B1*x*y ; B2 + y,x + 2.38552621104381 ; 0.10331759669996*x*y ; y + 2.25152414859121
208,0.0,B0 + x ; -2*x*y**2 + 2*y**3 ; B1 - y,x + 0.00497086435744469 ; -2*x*y**2 + 2*y**3 ; 5.78929744857189 - y
209,0.0,B0 + x ; B1*x*y**2 ; B2 + y**2 + y,x + 22.7789235906451 ; 0.024260824217322*x*y**2 ; y**2 + y - 73.1360990628826
210,0.0,B0 + x ; B1*y + B2*y**2 ; B3 + y**3 + y**2,x + 0.203576920052853 ; 0.00119124418064288*y**2 - 2.1389974099484*y ; y**3 + y**2 + 0.611254252391904
211,0.0,B0 + x ; 4*x*y**2 ; B1 + B2*y,x + 502.748566387864 ; 4*x*y**2 ; 78.5446749917008*y + 380.30173300979
212,0.0,B0 + x ; 2*x*y**2 + 2*y**3 ; B1 + y,x + 0.000262046393732252 ; 2*x*y**2 + 2*y**3 ; y + 89.3457900700814
213,0.0,B0 + x ; B1*y**2 + 2*x*y**2 ; B2 + y,x + 37.9088560745267 ; 2*x*y**2 - 0.0492383583866639*y**2 ; y + 7.44594733369125
214,0.0,B0 + x ; 2*x*y**2 ; B1*y + y**2,x + 396.815544685035 ; 2*x*y**2 ; y**2 + 0.222435503317475*y
215,0.0,B0 + x ; 2*x*y**2 ; B1 + y**2 + 3*y,x + 390.469495176761 ; 2*x*y**2 ; y**2 + 3*y + 251613.264721971
216,0.0,B0 + x ; 2*x**2*y ; B1*y**3 + y,x + 307.79917527435 ; 2*x**2*y ; 4.75365257597553*y**3 + y
217,0.0,B0 + x ; 2*x**2*y ; B1 + 4*y,x + 0.00128545205329848 ; 2*x**2*y ; 4*y + 4.10949095762761
218,0.0,B0 + x ; 2*x*y**2 ; B1 - y,x + 399.982534340111 ; 2*x*y**2 ; 311.517238716222 - y
219,0.0,B0 + x ; 2*x**2*y ; B1 + y**2 + y,x + 0.0128661105872883 ; 2*x**2*y ; y**2 + y + 7.03827316897255
220,0.0,B0 + x ; 2*x**2*y ; B1 + y,x + 0.251853003588171 ; 2*x**2*y ; y + 0.0023998878864388
221,0.0,B0 + x ; 2*x**2*y ; y,x + 0.000360778753446813 ; 2*x**2*y ; y
222,0.0,B0 + x ; 2*x**2*y ; B1 + B2*y + B3*y**2,x + 0.631834339776717 ; 2*x**2*y ; 24.0496838577653*y**2 + 0.980727858751273*y + 2.53861882732723
223,0.0,B0 + x ; 2*x**2*y ; B1 - y**2 + 3*y,x + 0.0940505923124748 ; 2*x**2*y ; -y**2 + 3*y + 1.22306819256376
224,0.0,B0 + x ; 2*x*y**2 ; B1 + B2*y,x + 400.567688514515 ; 2*x*y**2 ; 0.000863313893689068*y + 312.313262153469
225,0.0,B0 + x ; 2*x**2*y ; B1 + 2*y,x + 3.41083178487067 ; 2*x**2*y ; 2*y + 0.00806955277563803
226,0.0,B0 + x ; B1*x*y ; B2 - y**2 - y,x + 0.77720041107501 ; -1.14189911146344*x*y ; -y**2 - y + 34.6098635239996
227,0.0,B0 + x ; 2*x*y**2 ; B1*y,x + 395.283478456872 ; 2*x*y**2 ; 24.7261667059232*y
228,0.0,B0 + x ; 2*x**2*y ; B1*y,x + 0.000724048736811443 ; 2*x**2*y ; 5.57852736024398*y
229,0.0,B0 + x ; 2*x**2*y ; B1 + B2*y + y**2,x + 0.000283821496906101 ; 2*x**2*y ; y**2 + 29.6480066226022*y + 0.00251416335232361
230,0.0,B0 + x ; 2*x**2*y ; B1 + B2*y**2 + y,x + 3.63310124869758 ; 2*x**2*y ; 69.7459480078916*y**2 + y + 21.003810388248
231,0.0,B0 + x ; 2*x**2*y ; B1 + y**2 - y,x + 0.00015832868228477 ; 2*x**2*y ; y**2 - y + 0.0522528019401645
232,0.0,B0 + x ; 2*x**2*y ; B1*y + y**2,x + 0.126793695673268 ; 2*x**2*y ; y**2 + 0.00184813461660647*y
233,0.0,B0 + x ; 2*x**2*y ; 2*y**2 + 2*y,x + 0.000180022449959352 ; 2*x**2*y ; 2*y**2 + 2*y
234,0.0,B0 + x ; 2*x**2*y ; y**2 + 2*y,x + 0.00146800070822731 ; 2*x**2*y ; y**2 + 2*y
235,0.0,B0 + x ; 2*x**2*y ; B1 + 3*y,x + 0.0140587973852458 ; 2*x**2*y ; 3*y + 46.4077815285678
236,0.0,B0 + x ; 2*x**2*y ; B1 + y**2 + 2*y,x + 0.052146851541197 ; 2*x**2*y ; y**2 + 2*y + 0.0206939373302387
237,0.0,B0 + x ; 2*x**2*y ; 5*y,x + 2.93429070486545 ; 2*x**2*y ; 5*y
238,0.0,B0 + B1*x + x**2 ; y ; B2*y + B3*y**2,x**2 + 0.00692354759762474*x + 0.000624296130608248 ; y ; -0.183759548231744*y**2 + 14.9377051313567*y
239,0.0,B0 + B1*x**3 ; y ; B2 + B3*y + B4*y**2,16.8377315306065 - 0.00176500373694183*x**3 ; y ; 0.243465780626642*y**2 - 2.567107104403*y + 10.7560967901859
240,0.0,x ; y ; y,x ; y ; y
241,0.0,B0 + x ; y ; y,x - 4.99999999869471 ; y ; y
242,0.0,B0*x ; y ; B1*y**2,-15.7904684501499*x ; y ; 0.0901406002362912*y**2
243,0.0,B0 + 2*x ; y ; B1 + y,2*x - 14.8686362078689 ; y ; y - 0.262727227894965
244,0.0,B0 + B1*x + x**2 ; y ; B2 + y**2 - y,x**2 + 14.1628935965248*x + 0.00298285622669452 ; y ; y**2 - y - 43.8489101603918
245,0.0,B0 + x ; y ; B1 + y,x - 4.72484404612567 ; y ; y - 0.27515591902976
246,0.0,B0 + x ; y ; -y**2 + y,x + 72.2552760320463 ; y ; -y**2 + y
247,0.0,B0 + 5*x ; y ; B1 + B2*y + B3*y**2,5*x - 44.2768000771334 ; y ; 0.14372938626388*y**2 - 0.502984624041103*y + 0.209928839223791
248,0.0,B0 + x ; y ; 2*y,x - 7.49999997557957 ; y ; 2*y
249,0.0,B0*x ; y ; y,-13.8470294465104*x ; y ; y
250,0.0,x**2 ; y ; B0 + 2*y,x**2 ; y ; 2*y - 10.1565561915039
251,0.0,B0 + B1*x + B2*x**2 ; y ; B3 + y,-0.127864647748567*x**2 - 7.18001788951081*x + 151.39573342162 ; y ; y - 0.253701378180537
252,0.0,3*x ; y ; y,3*x ; y ; y
253,0.0,B0 + B1*x ; y ; B2 + B3*y,34.0027735472498 - 1.53717881454206*x ; y ; 1.7502186221614*y - 7.71084522351778
254,0.0,B0 + B1*x ; y ; B2 - y,-14.8308042685695*x - 79.3575807508969 ; y ; 9.99999965126142 - y
255,0.0,B0 + x ; y ; B1*y,x - 4.83056991331738 ; y ; 0.967224610178447*y
256,0.0,B0*x ; y ; B1 + B2*y + B3*y**2,0.73036062278835*x ; y ; 0.117480180445683*y**2 - 0.516143905558693*y + 2.77763447628585
257,0.0,B0 + x ; y ; B1 + 4*y,x - 4.69469456349482 ; y ; 4*y - 16.2212217458072
258,0.0,B0 + x ; y ; B1*y**3 + y,x - 4.91641402551079 ; y ; -0.00063564409333758*y**3 + y
259,0.0,B0 + B1*x ; y ; B2 + y**2 + y,173.910074070345 - 10.7275503377255*x ; y ; y**2 + y - 44.9718910190704
260,0.0,B0 + x**2 + x ; y ; B1 + B2*y,x**2 + x + 4.37175625811305 ; y ; 1.95255551008744*y - 9.67899972054604
261,0.0,x**2 + 2*x ; y ; B0 + B1*y,x**2 + 2*x ; y ; 1.96933683511322*y - 9.85092548449221
262,0.0,B0 + x ; y ; B1*y**2 + y**3 + y,x - 8.01697263167519 ; y ; y**3 + 0.662722488273361*y**2 + y
263,0.0,B0 - x ; y ; B1 + y,23.6732200350349 - x ; y ; y - 0.210066047602605
264,0.0,B0 + 3*x ; y ; B1 + 2*y,3*x - 23.6640856449359 ; y ; 2*y - 10.3436573362364
265,0.0,B0 + B1*x + B2*x**2 ; y ; B3 - y,0.397919698631839*x**2 - 12.4366084894113*x + 101.239572016385 ; y ; 9.99999969557413 - y
266,0.0,B0 + x ; y ; B1 + B2*y**2,x - 0.0129800250128875 ; y ; 0.0408837271820524*y**2 - 0.0102136563171428
267,0.0,B0 + x ; y ; B1 + B2*y + y**2,x - 1.43994503637684 ; y ; y**2 - 7.6612107573834*y - 3.71026326320749
268,0.0,B0 + 2*x ; y ; B1 - y,2*x - 14.9999657138193 ; y ; 9.99999995595441 - y
269,0.0,B0 + 3*x**2 - x ; y ; B1 + B2*y**2 + y,3*x**2 - x + 59.9896037174467 ; y ; 0.0561270766658024*y**2 + y - 5.8069488331704
270,0.0,B0 + B1*x**3 ; y ; B2 + y,66.2337243619182 - 0.0153019252874725*x**3 ; y ; y - 0.25355544034319
271,0.0,B0 + x ; y ; B1 + y**2,x - 4.42396253645463 ; y ; y**2 - 26.1395720189969
272,0.0,B0 + 3*x ; y ; B1 + y,3*x - 24.9145775087985 ; y ; y - 0.256267315219169
273,0.0,B0 + B1*x ; y ; B2 + 2*y,35.0953694757808 - 1.60717811062783*x ; y ; 2*y - 10.2233911422138
274,0.0,B0 - x ; y ; B1 + y**2,22.7579968094771 - x ; y ; y**2 - 44.6746383847964
275,0.0,B0 + B1*x**2 ; y ; y**4 + y**2 + y,-0.343756455706695*x**2 - 16.9015344435757 ; y ; y**4 + y**2 + y
276,0.0,B0 + 3*x ; y ; B1 + B2*y,3*x - 23.6182851526245 ; y ; 2.0611374223787*y - 10.9170209726286
277,0.0,B0 + x ; y ; B1*y - y**2,x - 8.39291084093496 ; y ; -y**2 + 6.70874681959069*y
278,0.0,B0 + B1*x + B2*x**2 ; y ; B3 + B4*y,0.687056627857243*x**2 - 23.7839037156484*x + 214.358566521235 ; y ; 1.6155997886547*y - 6.38465916050919
279,0.0,B0 - x ; y ; B1 + B2*y + y**2,25.3088926829947 - x ; y ; y**2 - 13.6487375079278*y + 48.2405302633175
280,0.0,B0 + x**4 ; y ; B1*y**3 + y,x**4 + 0.000247671222952152 ; y ; -0.000590511136958395*y**3 + y
281,0.0,B0 - 2*x**2 ; y ; B1 + y**2,17.9258366641012 - 2*x**2 ; y ; y**2 - 44.8457831958291
282,0.0,B0 + B1*x ; y ; B2 + B3*y**2,31.8211237695098 - 1.39457656305093*x ; y ; 0.0969705407888285*y**2 - 0.0131306530302839
283,0.0,B0 + x ; y ; B1 + B2*y + B3*y**2,x - 1.74304494953647 ; y ; 0.164826446634137*y**2 - 0.914750914828306*y + 0.646633398271002
284,0.0,B0 - x**2 ; y ; B1 + B2*y,83.4141688474543 - x**2 ; y ; 1.99338903037036*y - 9.8184527569412
285,0.0,B0 + x ; y ; B1 + B2*y**3,x - 2.78667743363016 ; y ; 0.00761237499469524*y**3 + 1.65936364397626
286,0.0,B0 + x ; y ; B1*y**2 + y,x - 4.88859713713596 ; y ; -0.00426176618406474*y**2 + y
287,0.0,B0 + x ; y ; B1 + B2*y,x - 4.99999992321211 ; y ; 0.364112036146261*y + 3.1794397964302
288,0.0,B0 + B1*x**2 ; y ; B2 + B3*y**3,0.0169919076810033*x**2 + 4.28648175705534 ; y ; 0.0222019714507435*y**3 + 0.830564222989498
289,0.0,B0 + B1*x ; y ; B2 + B3*y + B4*y**2,52.5325509979209 - 3.16325480570654*x ; y ; -0.663567704512117*y**2 + 4.91823766660437*y - 3.00196594513063
290,0.0,B0 + x**2 ; y ; B1*y,x**2 + 0.000630164401289034 ; y ; 0.968039039263291*y
291,0.0,B0 + B1*x ; y ; B2*y + B3*y**2,33.5986773825854 - 1.50845725184901*x ; y ; 0.100241710567206*y**2 - 0.034404562923628*y
292,0.0,B0 + B1*x + x**2 ; y ; B2 + B3*y,x**2 + 0.00230597334698106*x + 17.0766147490657 ; y ; 1.93445477194674*y - 9.49853110676361
293,0.0,B0 + B1*x ; y ; B2 + B3*y**2 - y**3,213.662477025811 - 7.31924126165256*x ; y ; -y**3 - 99.150169854674*y**2 + 425.258357631703
294,0.0,B0 + x ; y ; B1*y**2 + B2*y**3 + y,x + 1.39693037122757 ; y ; 0.0976592584614938*y**3 - 1.29645027317391*y**2 + y
295,0.0,B0 + B1*x ; y ; B2 + B3*y**3,34.4084816505693 - 1.55886427163709*x ; y ; 0.00713319039202644*y**3 + 2.42319665234277
296,0.0,B0 + B1*x + x**2 ; y ; B2*y,x**2 + 1.10302240370091*x + 0.333984928668065 ; y ; 0.968078570597044*y
297,0.0,B0 + B1*x + x**2 ; y ; B2*y**2 + y,x**2 + 5.4601194438362*x + 0.164217477312214 ; y ; -0.00420697833937777*y**2 + y
298,0.0,B0 + B1*x**2 ; y ; B2 + B3*y,0.0177335260753993*x**2 + 3.83461378672963 ; y ; 1.04247825288847*y - 0.478059690263042
299,0.0,B0 + x**2 - x ; y ; -y**4 + y**3 + y,x**2 - x + 1.10459530214233 ; y ; -y**4 + y**3 + y
300,0.0,B0 + B1*x - x**3 ; y ; B2*y**2 + y,-x**3 + 0.00891698943858416*x - 411.710396286472 ; y ; -0.00417979058736273*y**2 + y
301,0.0,B0 + 2*x ; y ; B1*y + B2*y**2,2*x - 13.0497242147394 ; y ; 0.159673742874971*y**2 - 0.723594788218315*y
302,0.0,B0 + B1*x - x**2 ; y ; B2*y**2 - y**3 + y,-x**2 + 20.0971440090687*x - 8.68366083075248 ; y ; -y**3 + 5.99276921134615*y**2 + y
303,0.0,B0 - x ; y ; B1*y + B2*y**2,25.7167587639568 - x ; y ; 0.103294537564564*y**2 - 0.0685493698929602*y
304,0.0,B0 + x ; y ; B1 + B2*y**2 - y**4,x + 85.5389260729362 ; y ; -y**4 - 6.58343449348582*y**2 + 58.1340336712374
305,0.0,B0 - x ; y ; B1 + B2*y**2,25.7120805223137 - x ; y ; 0.097769951809541*y**2 - 0.120249630309962
306,0.0,B0 + 2*x ; y ; B1 + B2*y,2*x - 14.9711891008444 ; y ; 0.881090715576878*y + 0.540350540590822
307,0.0,B0 - x**2 - x ; y ; B1 + B2*y**2 - 2*y**3,-x**2 - x + 144.793790989879 ; y ; -2*y**3 - 28.3176524981051*y**2 + 4.72148402014574
308,0.0,B0 + B1*x ; B2*x + B3*y ; y,41.3328201299574 - 2.00168153636296*x ; 0.439222383129894*x + 0.33534277755348*y ; y
309,0.0,B0 + 2*x ; B1 + B2*x + y ; y,2*x - 21.194903110498 ; 2.72439479672725*x + y - 42.3910599773453 ; y
310,0.0,B0 + x ; B1*y + B2*y**3 + y**2 ; B3 + y,x + 44.5384080102365 ; -0.153707539019926*y**3 + y**2 + 10.3277371004246*y ; y + 6.87807601632901
311,0.0,B0 - x ; y ; y,20.5632621557326 - x ; y ; y
312,0.0,B0 - 2*x**2 ; B1*x - x**2 ; B2*y**3,-2*x**2 - 42.3525258534425 ; -x**2 - 15.2520819794898*x ; -2.03801104822192*y**3
313,0.0,B0 + 2*x ; y ; B1 + B2*y + B3*y**2,2*x - 13.4110275025027 ; y ; 0.275633893675309*y**2 - 2.73121624502933*y + 8.89381791303637
314,0.0,B0*x ; 2*x*y - y**2 ; 2*y**2,5.8516502995104*x ; 2*x*y - y**2 ; 2*y**2
315,0.0,B0 + x ; x ; y,x + 0.147471089963655 ; x ; y
316,0.0,B0 + 2*x ; y ; B1*y**2 + y**3,2*x - 19.8224586529581 ; y ; y**3 + 0.0448736528956412*y**2
317,0.0,B0 - x ; B1 + y ; B2 + y**3,1.9754059545904 - x ; y - 11.3128112254965 ; y**3 + 9.35750482660065
318,0.0,B0 + B1*x + x**2 ; B2 + x ; B3 + y,x**2 + 49.8623392284097*x + 19.9254940530311 ; x - 163.333151982577 ; y - 73.5580409224352
319,0.0,B0*x ; B1*x*y**2 ; B2 + y**4 + y**2,2.13280578185693*x ; 0.000211956338654498*x*y**2 ; y**4 + y**2 + 0.000685522759262633
320,0.0,B0 - x ; x*y**2 + y**3 + y**2 ; y,7.57108422873563 - x ; x*y**2 + y**3 + y**2 ; y
321,0.0,B0 + B1*x ; x ; B2 + B3*y,53.6596063376815 - 2.44815351261006*x ; x ; 1.09985997323158*y + 4.37084243333573
322,0.0,B0 + B1*x ; x*y - y**2 - y ; B2 + B3*y,5.8443039430519*x - 40.2121017417772 ; x*y - y**2 - y ; 5.23463518874373*y + 5.01236767886965
323,0.0,x ; B0 + B1*x ; B2*y,x ; 4.47008455582339*x - 54.0045043019229 ; 1.52492265549242*y
324,0.0,B0 + B1*x ; B2*x - x**2 - x*y ; B3*y + B4*y**2,0.175931279869756 - 0.123068233845964*x ; -x**2 - x*y + 5.60135635237501*x ; -0.00377268168569068*y**2 + 0.111991145584496*y
325,0.0,B0 - x ; y ; B1 + B2*y,25.6787364781435 - x ; y ; 1.77322430815963*y - 7.96645086859902
326,0.0,B0 + x ; y ; B1*y + B2*y**2,x - 2.86490226795556 ; y ; 1.47592277273129*y**2 - 9.91164059160878*y
327,0.0,B0 + x ; x ; B1 + B2*y**2,x + 0.274242425243624 ; x ; 0.253899358137833*y**2 - 11.3083883953976
328,0.0,B0*x ; B1 + x ; B2*y**2,0.441491736090106*x ; x - 8.67526489155588 ; 0.0648562071173937*y**2
329,0.0,-x ; B0 + B1*x*y ; B2*y,-x ; 0.987339829379027*x*y + 9.57760789727292 ; -0.291503074577681*y
330,0.0,B0*x ; y ; B1*y + y**2,0.00447622892170252*x ; y ; y**2 + 11.1322160386186*y
331,0.0,B0*x + B1*x**2 ; x ; B2*y**2,-0.222072734277367*x**2 + 4.45392827760254*x ; x ; 0.152826899525186*y**2
332,0.0,B0 + B1*x - 2*x**2 ; y ; B2 + B3*y + B4*y**2,-2*x**2 + 29.5684272241158*x - 54.8885081576814 ; y ; -0.0115285699671643*y**2 + 1.8764957089615*y - 8.696451611024
333,0.0,B0 + x ; x*y**3 - x*y**2 + y ; B1*y**2,x + 0.000177207037947158 ; x*y**3 - x*y**2 + y ; 14.6918669986756*y**2
334,0.0,B0 - x ; B1 + B2*x + B3*x**2 ; B4 + B5*y,9.31663040962623 - x ; 0.419838882771264*x**2 - 8.46603052874616*x + 23.8402612126466 ; 1.28868662376289*y - 19.3772930368494
335,0.0,B0 + x ; B1*x - 2*x**2 + x*y ; B2*y**2 + B3*y**3,x + 0.000208915267512534 ; -2*x**2 + x*y + 0.623007342166437*x ; 83.8248837316589*y**3 + 12.0753000544664*y**2
336,0.0,B0 + B1*x + B2*x**2 ; y ; B3*y - 3*y**2,-0.931491863774664*x**2 + 18.7339755634389*x + 57.6430132695908 ; y ; -3*y**2 + 190.106225835384*y
337,0.0,B0 + 3*x ; x ; B1*y,3*x - 19.9999999882152 ; x ; 9.70138423156703*y
338,0.0,B0 + B1*x ; B2*x**2*y**2 + x**2 ; B3*y**3 + y**2,1.88911740929481 - 2.66153630399248*x ; -0.00218425268668426*x**2*y**2 + x**2 ; -0.0794287555413627*y**3 + y**2
339,0.0,B0 - 2*x ; B1 - x ; B2*y - y**2,128.498404760488 - 2*x ; 112.936419208861 - x ; -y**2 + 25.6769164627335*y
340,0.0,B0 + x ; B1 + B2*y ; B3*y**3,x - 0.131260761764478 ; 2.21803844153099*y - 2.60278509641455 ; 0.0516969230308318*y**3
341,0.0,B0 + x**2 + 2*x ; B1 + B2*x ; B3*y**2 + y**3,x**2 + 2*x + 0.198494064372475 ; 0.727831024652054*x + 31.1225544064789 ; y**3 + 0.0551130996120468*y**2
342,0.0,B0 + B1*x ; B2*x + 2*y ; B3 + B4*y,0.718102788096894*x + 19.2942324023583 ; 0.686112731197107*x + 2*y ; 2.02770400915462*y + 10.1362429291838
343,0.0,-x**2 + x ; B0 - x ; B1*y,-x**2 + x ; -x - 40.9586116435565 ; 13.8513786568039*y
344,0.0,B0 + B1*x ; B2*x**2 + x**2*y ; B3*y + 2*y**2,38.9766993648677*x + 0.47888008312984 ; x**2*y + 0.597678050105318*x**2 ; 2*y**2 + 0.182213235343702*y
345,0.0,B0 - x ; B1*x + y ; B2*y**2,26.3679376492675 - x ; 0.0408692581206973*x + y ; 0.102587587995079*y**2
346,0.0,B0 + x ; x ; B1 + B2*y,x + 0.274793842308145 ; x ; 5.90343303666461*y - 44.785842806523
347,0.0,B0*x ; y ; B1 + B2*y,-1.15874489066336*x ; y ; 14.892831837382*y + 217.147049687603
348,0.0,B0 + B1*x + x**2 ; 2*y ; B2*y**3 + B2*y + B3*y**2,x**2 + 8.67825550982574*x + 0.0134266022235626 ; 2*y ; -0.00696363068053645*y**3 + 0.268053593953115*y**2 - 0.00696363068053645*y
349,0.0,B0*x + B1*x**2 ; B2 - x ; B3*y + B4*y**2,-0.345964575215529*x**2 + 2.5314542590768*x ; -x - 29.0481723577604 ; 0.807035784530231*y**2 - 12.5170849615645*y
350,0.0,B0 - 2*x ; B1*y ; B2 + B3*y,73.8122186722479 - 2*x ; 4.26755317109314*y ; 5.10469528908427*y - 8.52375799204619
351,0.0,B0 - 2*x ; x**2 ; B1*y**2,89.0501701719511 - 2*x ; x**2 ; 0.362896203325089*y**2
352,0.0,B0 + B1*x + x**2 ; B2*x**5 ; B3*y**2 + B4*y**3,x**2 + 0.101409759089669*x + 0.653983953649722 ; 0.000808442715613958*x**5 ; 18.4611108470818*y**3 + 0.274626922859916*y**2
353,0.0,B0 + x ; y ; B1*y**2 + y**3,x - 10.6012028038195 ; y ; y**3 + 0.0448890626615838*y**2
354,0.0,B0 + B1*x**2 ; B2*x ; B3 + B4*y,33.3824184778137 - 0.0383630373294686*x**2 ; 1.54739617562362*x ; 1.31824053291237*y + 10.6682914548813
355,0.0,B0 + B1*x + x**2 ; B2 - y ; B3 + B4*y,x**2 - 35.6959279032175*x + 490.831971451196 ; 187.86590304102 - y ; 0.145061480931509*y + 176.269871877406
356,0.0,B0 + B1*x + x**2 ; B2*y + B3*y**3 ; B4 + B5*y,x**2 + 75.5603558949367*x + 0.0237711228994091 ; -0.00664622450687981*y**3 + 0.404806948114021*y ; 0.638642233042708 - 0.346184437798399*y
